,CodCons,NomCons,CodCta
55,243630,CONSORCIO LA UNIÓN ,243630
56,243653,CONSORCIO LA MERCED,243653
57,243655,CONSORCIO GUSTAVO MOMHE,243655
58,243661,CONSORCIO ANDABAMBA,243661
59,243669,CONSORCIO EL DORADO,243669
60,243678,CONSORCIO RAHUAPAMPA,243678
61,243703,CONSORCIO CURASCO,243703
62,243707,CONSORCIO D&J INGENIEROS,243707
63,243709,CONSORCIO SAN JUAN DE KULA,243709
64,243726,CONSORCIO FORTALEZA,243726
65,243749,CONSORCIO VIAL ANCASH - HUANUCO,243749
66,243757,CONSORCIO LECHERITA,243757
67,243770,CONSORCIO SERPYTEC S.A.C. - SERVICIOS DE RECUPERACIONES PROCURADURIA Y AFINES S.A.C. - SERPYA SAC,243770
68,243797,CONSORCIO SANTA CRUZ,243797
69,243806,CONSORCIO F&M,243806
70,243808,CONSORCIO SUPERVISOR PIURA,243808
71,243813,CONSORCIO AMBIENTAL VILLA MARIA DEL TRIUNFO (Conformado por M&F SERVICIOS EMPRESARIALES - GRUPO TEXSUR SOCIEDAD ANONIMA CERRADA),243813
72,243851,CONSORCIO PUNTA HERMOSA ,243851
73,243895,UBERTO GARCIA INOFUENTE - LUPE LUSMILA CACERES QUISPE - FLOR BLANCA GARCIA RUIZ - HEMERSON UBERTO GARCIA RUIZ ,243895
74,243896,ELENA MARLENI ANTALLACA MAMANI DE GARCIA-EMETERIO ANTALLACA REAS-CORPORACION E Y H SAC,243896
75,243918,CONSORCIO LA PAZ,243918
76,243931,CONSORCIO EL POTRERO,243931
77,243937,CONSORCIO SEÑOR DE LOS MILAGROS,243937
78,243945,CONSORCIO SALVA,243945
79,243947,CONSORCIO CHULIT,243947
80,243952,CONSORCIO CONSTRUCCIONES Y PROYECTOS MARCOS S.A.C. - SCOBEL GLOBAL  BUSSINES S.A.C. ,243952
81,243970,CONSORCIO VIRGEN DE LAS NIEVES,243970
82,243972,CONSORCIO CHINCHEROS,243972
83,243973,CONSORCIO WARI,243973
84,243974,CONSORCIO NUEVA ALIANZA,243974
85,243975,CONSORCIO OCOBAMBA,243975
86,243989,CONSORCIO SUPERVISOR,243989
87,243991,CONSORCIO GRUPOS AGROINDUSTRIALES EIRL Y INDUSTRIAS ALIMENTARIAS RYR EIRL,243991
88,243995,CONSORCIO  SAN JOSE,243995
89,244011,CONSORCIO DUBAI,244011
90,244041,CONSORCIO HUANCANI,244041
91,244045,CONSORCIO   TUGUSA,244045
92,244046,CONSORCIO LALIN,244046
93,244047,CONSORCIO ORTIZ &TAPARA,244047
94,244152,CONSORCIO CAJARURO,244152
95,244176,CONSORCIO LEONARDO ORTIZ,244176
96,244177,CONSORCIO PARACSHA,244177
97,244178,Consorcio  integrado por Inmobiliaria Santoña S.A.C. ¿ Inmobiliaria Noja S.A.C.  ¿ Laila Fatima Gaber Boschiazzo ¿ Nadia Milagros Gaber Boschiazzo. ,244178
98,244188,CONSORCIO DE TRANSPORTE SOTANO ,244188
99,244225,CONSORCIO GOAR & FEBRES,244225
100,244230,CONSORCIO ACOBAMBA,244230
101,244237,CONSORCIO CONCERDEL,244237
102,244247,CONSORCIO ATAHUALPA ,244247
103,244273,CONSORCIO SUPERVISOR NORTE,244273
104,244275,CONSORCIO 28 DE NOVIEMBRE,244275
105,244279,CONSORCIO H Y A,244279
106,244292,CONSORCIO GRUPO AGROINDUSTRIALES EIRL INDUSTRIAS R & R E.I.R.L RUC N°     20602620647; 20495726623,244292
107,244295,CONSORCIO JCM,244295
108,244305,CONSORCIO CHINCHAN,244305
109,244308,GRUPOS AGROINDUSTRIALES E.I.R.L,244308
110,244312,CONSORCIO NUEVA VICTORIA,244312
111,244314,CONSORCIO VIRGEN DEL CARMEN - CHACCHO,244314
112,244325,CHURRIA,244325
113,244326,CONCORCIO BELLA VISTA,244326
114,244327,CONSORCIO F DELTA TRANSPORT SRL - HCM SAC,244327
115,244353,CONSORCIO SAN CARLOS ,244353
116,244377,CONSORCIO MARIA ,244377
117,244378,CONSORCIO HUACCANA,244378
118,244384,CONSORCIO CRUZ DE MOTUPE,244384
119,244385,CONSORCIO LUCIANA ,244385
120,244416,CONSORCIO CLARITA,244416
121,244418,CONSORCIO GEMINIS,244418
122,244431,CONSORCIO AGUA BRAVA,244431
123,244437,CONSORCIO RIMAX SAC,244437
124,244452,CONSORCIO SUPERVISOR LUVIN ,244452
125,244459,CONSORCIO HORIZONTE,244459
126,244469,CONSORCIO   LLANGODEN,244469
127,244476,CONSORCIO SAN ANTONIO,244476
128,244486,CONSORCIO CELAJES,244486
129,244494,CONSORCIO HAR,244494
130,244505,CONSORCIO SAN PABLO,244505
131,244518,CONSORCIO HIJOS DE TAUCA - CCAPI,244518
132,244527,CONSORCIO HERMANOS AYAR,244527
133,244529,CONSORCIO PILLPI,244529
134,244538,CONSORCIO YURAJ JACHA,244538
135,244541,CONSORCIO IMPERIO,244541
136,244544,CONSORCIO LOS ANDES ,244544
137,244549,CONSORCIO ANIMARKET DISTRIBUCIONES VETERINARIAS SAC - ANIMARKET DISTRIBUCIONES EIRL,244549
138,244556,CONSORCIO MILAGROS,244556
139,244567,CONSORCIO HUARI,244567
140,244578,GRUPOS AGROINDUSTRIALES   E.I.R.L,244578
141,244589,CONSORCIO VIAL COYUNDE,244589
142,244616,CONSORCIO MARIA,244616
143,244617,CONSORCIO MIRAFLORES,244617
144,244620,CONSORCIO LA AMISTAD,244620
145,244628,CONSORCIO TUPAC,244628
146,244643,CONSORCIO COMAS,244643
147,244652,CONSORCIO VIAL PA-103,244652
148,244655,CONSORCIO D & J,244655
149,244661,CONSORCIO BOREAN,244661
150,244670,CONSORCIO ANAYMAR,244670
151,244674,CONSORCIO SECHIN BAJO,244674
152,244683,CONSORCIO GRUPOS AGROINDUSTRIALES E.I.R.L-INDUSTRIAS ALIMENTARIAS R&R E.I.R.L,244683
153,244685,CONSORCIO DELCAM,244685
154,244696,CONSORCIO SANTA ANA,244696
155,244715,CONSORCIO PARCOY,244715
156,244718,CONSORCIO HUARAZ,244718
157,244723,CONSORCIO 28 DE JULIO,244723
158,244740,MARIA,244740
159,244741,CONSORCIO GRUPOS AGROINDUSTRIALES E.I.R.L. ¿ INDUSTRIAS ALIMENTARIAS R&R E.I.R.L.,244741
160,244745,CONSORCIO SILVERA JURADO YANINA LIZETH OLIVEROS CARRANZA JUAN CARLOS Y QUIJADA CARRERA LUIS ALBERTO,244745
161,244747,CONSORCIO RAYHUARPAMPA,244747
162,244750,CONSORCIO MARIA,244750
163,244755,CONSORCIO MILPO,244755
164,244756,PROVEEDORES CONSTRUCTORES RAI SAC - P C RAI SAC,244756
165,244758,cusco pets y centro medico veterinario lazzy eirl,244758
166,244759,CONSORCIO CHACCHO,244759
167,244760,CONSORCIO UNGUYMARAN,244760
168,244761,CONSORCIO QUEROJAMANAN,244761
169,244763,CONSORCIO ACOCHACAN,244763
170,244780,CONSORCIO CHAO SEGURO,244780
171,244783,CONSORCIO QUIMICA SUIZA S.A- BOEHRINGER INGELHEIM PERU S.A,244783
172,244784,CONSORCIO QUIMICA SUIZA S.A- OM PHARMA S.A,244784
173,244785,CONSORCIO ALFARO S.A.C-MERCK SHARP DOHME PERU S.R.L,244785
174,244792,CONSORCIO YESHUA,244792
175,244795,SUPERVISOR A & A,244795
176,244800,CONSORCIO ICK ,244800
177,244804,CONSORCIO ESTRELLA DEL CENTRO,244804
178,244824,CONSORCIO HUALLAGA,244824
179,244828,CONSORCIO LOS ANGELES,244828
180,244830,CONSORCIO SAN JOSE,244830
181,244833,PISCOBAMBA,244833
182,244835,CONSORCIO AMAZONAS,244835
183,244837,CONSORCIO GRUPOS AGROINDUSTRIALES E.I.R.L. - INDUSTRIAS ALIMENTARIAS R & R E.I.R.L.,244837
184,244838,CONSORCIO SATIPO,244838
185,244841,CONSORCIO KVA ENERGY,244841
186,244845,CONSORCIO SUPERVISOR PUCALLPA,244845
187,244850,CONSORCIO CONSTRUCTOR PUCALLPA,244850
188,244853,CONSORCIO INGENIEROS,244853
189,244855,G y G,244855
190,244858,CONSORCIO NUEVO EDEN,244858
191,244866,CONSORCIO DE ALIMENTOS NF,244866
192,244870,CONSORCIO DAVAL,244870
193,244884,CONSORCIO PISACOMA 123,244884
194,244906,CONSORCIO LA POSITIVA SEGUROS Y REASEGUROS SANITAS S.A. EPS ,244906
195,244930,ESTRELLA DEL CENTRO,244930
196,244939,consorcio talavera,244939
197,244946,CONSORCIO HOSPITAL HERMILIO VALDIZAN III,244946
198,245031,CONSORCIO DE ALIMENTOS NF,245031
199,245041,CONSORCIO SAN MIGUEL,245041
200,245212,CONSORCIO M Y S,245212
201,245214,CONSORCIO EJECUTOR NORTE,245214
202,245239,CONSORCIO NORUSA,245239
203,245242,CONSORCIO SAN CRISTOBAL,245242
204,245245,GRUPOS AGROINDUSTRIALES E.I.R.L. - INDUSTRIAS ALIMENTARIAS R & R E.I.R.L,245245
205,245274,CONSORCIO ACCHAS,245274
206,245307,CONSORCIO INKAWASI MAQUINARIAS,245307
207,245384,CONSORCIO LECHERITA,245384
208,245388,CONSORCIO INGENIEROS SANTEÑOS,245388
209,245390,CONSORCIO LA POSITIVA,245390
210,245391,HILDA ELIZABETH PORTILLA GUTIERREZ DE COTRINA  Y CONFECCIONES GALINDO SRL,245391
211,245392,CONSORCIO UNIVERSITARIO JAN,245392
212,245407,CONSORCIO APOLO,245407
213,245418,CONSORCIO ANSA,245418
214,245428,CONSORCIO CORPORACION ELECTROCONS INFINITUM,245428
215,245437,CONSORCIO SAN JUAN,245437
216,245438,CONSORCIO  GRUPOS AGROINDUSTRIALES EIRL- INDUSTRIAS ALIMENTARIAS R&R EIRL,245438
217,245444,CONSORCIO LUCEROPATA ,245444
218,245448,CONSORCIO JAROMI CORPORATION SAC-CONFECCIONES GENERALES NACIONALES AMERICOANTONIO SAC-CONFECCIONES WALLIQ PERU SAC,245448
219,245450,CONSORCIO TUPAC AMARU,245450
220,245454,CONSORCIO LAMOR PERU SAC Y BRUNNER SAC,245454
221,245459,EL CONSORCIO DE SERVICIOS ALIMENTARIOS PERU,245459
222,245483,CONSORCIO CORTEGANA,245483
223,245498,CONSORCIO LA POSITIVA,245498
224,245509,CONSORCIO FERROCONSULT SAC - MTV PERU EIRL,245509
225,245541,CONSORCIO MARVIL,245541
226,245550,CONSORCIO COISHCO VIEJO,245550
227,245558,CONSORCIO KUELAP,245558
228,245564,CONSORCIO MI PERU,245564
229,245567,CONSORCIO EVA`Z SECURITY,245567
230,245571,CONSORCIO INGENIERIA VIAL R K,245571
231,245575,CONSORCIO SUPERVISOR  UCHIZA,245575
232,245599,CONSORCIO CRASSUS,245599
233,245602,CONSORCIO FUNDO EL PARAISO,245602
234,245612,CONSORCIO DUBAI,245612
235,245616,CONSORCIO MAMALA,245616
236,245621,CONSORCIO SERVITO,245621
237,245633,CONSORCIO YANCO,245633
238,245634,CONSORCIO NEGOCIOS ADVANCE S.R.L.- NEGORED E.I.R.L.,245634
239,245659,CONSORCIO SHANAO MAYO,245659
240,245669,CONSORCIO PARADEROS,245669
241,245676,SUPERVISOR N & V,245676
242,245678,CONSORCIO CCELLCCAYCCOCHA,245678
243,245694,CONSORCIO - SILVERA JURADO YANINA LIZETH & INVERSIONES FRUVERSAF S.A.C,245694
244,245696,CONSORCIO GRUPOS AGROINDUSTRIALES E.I.R.L - INDUSTRIAS ALIMENTARIAS R & R E.I.R.L,245696
245,245714,CONSORCIO RAMÓN CASTILLA,245714
246,245715,CONSORCIO RAYHUAN,245715
247,245724,CONSORCIO SABAOTH,245724
248,245726,CONSORCIO ANGARAES,245726
249,245731,CONSORCIO ALTO MAYO,245731
250,245732,DOROALLY,245732
251,245739,CONSORCIO SAUSA,245739
252,245751,CONSORCIO EROS,245751
253,245754,CONSORCIO SAN ANTONIO (VACCARO ALVAREZ ANGEL GUIDO & CORDOVA FLOREZ GILMAR),245754
254,245757,CONSORCIO ESTUDIO VIAL SAN JOSE,245757
255,245758,CONSORCIO COMERCIALIZACIÓN IMPORTACIÓN Y EXPORTACIÓN RAYSA E.I.R.L/FABRILAC PERU S.A.C.,245758
256,245775,CONSORCIO UNIVERSO,245775
257,245782,CONSORCIO JAROMI CORPORATION S.A.C. - STEPHNAY YANAC SUERO,245782
258,245785,CONSORCIO NORTE,245785
259,245797,VENCARNES EIRL Y REALVA EIRL,245797
260,245801,CONSORCIO CERRO BLANCO,245801
261,245813,CONSORCIO PAUCARTAMBO ,245813
262,245827,CONSORCIO VENCARNES EIRL - REALVA EIRL,245827
263,245835,CONSORCIO  INTEGRADO POR NUESTRO DIVINO CONSTRUCTORES Y SERVICIOS EIRL - WALDIMAR VICTOR SULCA BULEJE,245835
264,245838,CONSORCIO DEL NORTE,245838
265,245850,CONSORCIO SICUANI,245850
266,245852,CONSORCIO UCHIZA,245852
267,245853,CONSORCIO NORTE,245853
268,245855,CONSORCIO SUPERVISOR ROABOYA,245855
269,245857,CONSORCIO VIAL HUANDO,245857
270,245862,CHUZAL,245862
271,245863,CONSORCIO RIO ANCASH,245863
272,245870,CONSORCIO PROGRESO,245870
273,245880,CONSORCIO RUMI CRUZ,245880
274,245885,CONSORCIO DEL NORTE,245885
275,245889,CONSORCIO CHUZAL,245889
276,245897,CONSORCIO RAMOS PIZAN,245897
277,245898,CONSORCIO PARARIN- MALVADO,245898
278,245899,CONSORCIO PIURA,245899
279,245903,CONSORCIO LUZ FLORENCIA,245903
280,245908,CONSORCIO SAN MIGUEL,245908
281,245926,CONSORCIO CONSULTOR EL BOSQUE,245926
282,245928,CONSORCIO COISHCO,245928
283,245944,CONSORCIO SUPERVISOR HUANCHACO,245944
284,245958,CONSORCIO AREAS VERDES II,245958
285,245959,CONSORCIO DISTRIBUIDORA MARLU S.A.C. - MARIA LUZ GUTIERREZ ARAPA,245959
286,245960,CONSORCIO LUCIANA,245960
287,245972,CONSORCIO ACUARIO,245972
288,245973,CONSORCIO GRUPO CARBAJAL,245973
289,245975,CONSORCIO B & R,245975
290,245978,CONSORCIO  S Y A ,245978
291,245986,CONSORCIO TECNOLOGIA INVESTIGACION Y MERCADO SOCIEDAD ANONIMA CERRADA - HINOSTROZA SOTELO MIGUEL ANGEL,245986
292,245988,CONSORCIO QUEROPATA,245988
293,245989,CONSORCIO SIMECCONS,245989
294,245995,CONSORCIO (AGM INGENIEROS  S.R.L. ¿ SOLORIO NEIRA PEDRO RONALD),245995
295,246012,CONSORCIO SUPERVISOR TERMINAL XAUXA,246012
296,246013,CONSORCIO SUPERVISOR B&B,246013
297,246035,CONSORCIO MIRAFLORES ,246035
298,246046,CONSORCIO DEL NORTE,246046
299,246049,CONSORCIO GENERACION ANDREA,246049
300,246055,CONSORCIO AKIANE SOLUCIONES SAC Y ENGINEERS AND ASSOCIATED SERVICES SAC,246055
301,246059,CONSORCIO VIGO  Y ASOCIADOS S.C. - ESCOM INGENIEROS SAC,246059
302,246062,INVERSIONES NR EIRL  -  CONSTRUCTORA PERU TRACTOR SRL,246062
303,246065,CONSORCIO SISA,246065
304,246067,CONSORCIO BRASIL,246067
305,246072,CONSORCIO MOLINO,246072
306,246079,CONSORCIO M&C ASOCIADOS,246079
307,246092,CONSORCIO PERU,246092
308,246096,CONSORCIO TUTUMBEROS,246096
309,246097,CONSORCIO SUPERVISOR SURUAL,246097
310,246099,CONSORCIO MEGAPROYECTO,246099
311,246101,CONSORCIO LEONCIO PRADO,246101
312,246103,CONSORCIO EJECUTOR TUMBES,246103
313,246104,CONSORCIO PIPUS,246104
314,246119,ONSORCIO - SILVERA JURADO YANINA LIZETH & INVERSIONES FRUVERSAF S.A.C ,246119
315,246120,CONSORCIO LA FLORIDA,246120
316,246122,CONSOSRCIO SAN JOSE,246122
317,246163,CONSORCIO SAN JOSE,246163
318,246165,CONSORCIO GRUPOS AGROINDUSTRIALES EIRL - INDUSTRIAS ALIMENTARIAS R&R EIRL,246165
319,246173,CONSORCIO HUASCARAN,246173
320,246214,CONSORCIO LA ESPERANZA,246214
321,246215,CONSORCIO GMR,246215
322,246233,TINGOCANCHA,246233
323,246246,CONSORCIO ECUESTRE,246246
324,246251,CONSORCIO TERRACONST,246251
325,246253,CONSORCIO IMAZA,246253
326,246260,CONSORCIO SANTA RITA,246260
327,246276,CONSORCIO PEDRO RUIZ GALLO,246276
328,246278,CONSORCIO SAN ANDRES,246278
329,246289,CONSORCIO PROCAVEN EIRL - VEDISUR EIRL,246289
330,246290,CONSORCIO SANEAMIENTO MIRAFLORES,246290
331,246298,CONSORCIO F C,246298
332,246300,CONSORCIO BUSTAMANTE,246300
333,246305,CONSORCIO VICTOR LARCO CIUDAD VIGILADA CONFORMADO POR GRUPO ARITXA SAC Y FG GROUP SAC,246305
334,246306,CONSORCIO MARVIL,246306
335,246309,CONSORCIO SERGENEC S.A.C.  Y  CHAVIN SERVICES S.R.L.,246309
336,246315,CONSORCIO FRANCISCO BOLOGNESI,246315
337,246317,CONSORCIO S y J,246317
338,246319,CONSORCIO CARRETERA,246319
339,246324,CONSORCIO SAN ANTONIO,246324
340,246327,CONSORCIO LOS BOMBEROS,246327
341,246328,CONSORCIO SUPERVISION POLIDEPORTIVO,246328
342,246329,CONSORCIO ALIGOR S.R.L. - ALIMEN E.I.R.L,246329
343,246332,CONSORCIO PLAZA DE ARMAS COSIHCO,246332
344,246333,GRUPOS AGROINDUSTRIALES EIRL INDUSTRIAS ALIMENTARIAS R&R EIRL,246333
345,246334,CONSORCIO JEC CURGOS,246334
346,246344,CONSORCIO LAS PENCAS,246344
347,246345,CONSORCIO CHURKAMPA,246345
348,246347,CONSORCIO ANCASH,246347
349,246349,CONSORCIO LA MERCED,246349
350,246357,CONSORCIO HUACHON,246357
351,246358,CONSORCIO SAN JOSE,246358
352,246364,MUYA,246364
353,246376,CONSORCIO CHEPEN,246376
354,246383,CONSORCIO MISTI,246383
355,246385,CONSORCIO ANDINO ,246385
356,246387,CONSORCIO PASCO,246387
357,246390,CONSORCIO BASSCON,246390
358,246394,CONSORCIO TECNOLÓGICO ESPINAR ,246394
359,246407,CONSORCIO SUPERVISOR EL CERRO,246407
360,246408,CONSORCIO UNION,246408
361,246425,CONSORCIO AQUA,246425
362,246429,CONSORCIO LOA,246429
363,246439,CONSORCIO PUNCU ALTO,246439
364,246447,CONSORCIO MARVIL,246447
365,246463,CONSORCIO ARSUR CONSTRUCTORES,246463
366,246476,CONSORCIO PESCO PERU S.A.C - SIGMA EQUIPMENT DEL PERU SAC,246476
367,246480,CONSORCIO  LOS AMIGOS,246480
368,246491,CONSORCIO ESPERANZA INTEGRADO POR CONSTRUCTORA E INVERSIONES SAN JUAN BAUTISTA S.A.C. Y SERBEMUZ INDUSTRIALES & SERVICIOS GENERALES S.A.C,246491
369,246500,CONSORCIO SV INGENIEROS,246500
370,246507,CONSORCIO HORIZONTE,246507
371,246508,CONSORCIO YURIMAGUAS,246508
372,246509,CONSORCIO GAEL - MAYCE,246509
373,246511,CONSORCIO A&A,246511
374,246513,CONSORCIO SOL ANDINO,246513
375,246515,CONSORCIO PUENTES NACIONALES CHACAPI ,246515
376,246523,CONSORCIO CORREO Y MENSAJERÍA,246523
377,246524,CONSORCIO MOQUEGUA,246524
378,246525,"CONSORCIO GRUPO AGROINDUSTRIAL EIRL, INDUSTRIAS ALIMENTARIAS R R EIRL",246525
379,246533,CONSORCIO NARUMI,246533
380,246536,CONSORCIO IR,246536
381,246538,CONSORCIO SILVERA JURADO YANINA LIZETH Y INVERSIONES FRUVERSAF SAC,246538
382,246542,CONSORCIO BELLAS ARTES,246542
383,246551,CONSORCIO CONO SUR,246551
384,246553,CONSORCIO ATLANTIC,246553
385,246556,CONSORCIO MARVIL,246556
386,246558,CONSORCIO CASHAPAMPA,246558
387,246562,ALIGOR SRL Y ALIMEN EIRL,246562
388,246574,COSORCIO COTOSH,246574
389,246581,CONSORCIO GRUPOS AGROINDUSTRIALES E.I.R.L. - INDUSTRIAS ALIMENTARIAS R & R E.I.R.L.,246581
390,246613,CONSORCIO GRANADA,246613
391,246634,CONSORCIO SUPERVISOR CONVENTO,246634
392,246643,consorcio cvr consulting s.r.l  energía sistemas y telecomunicaciones s.a.,246643
393,246647,CONSORCIO HUACACHI,246647
394,246649,CONSORCIO FRED,246649
395,246662,CONSORCIO OMACHA,246662
396,246675,CONSORCIO SEDAN,246675
397,246678,CONSORCIO CORDELAN,246678
398,246679,CONSORCIO AGRARIO,246679
399,246685,CONSORCIO ANCASH,246685
400,246691,CONSORCIO SARA SARA,246691
401,246708,CONSORCIO LECHERITA,246708
402,246718,CONSORCIO HIJOS DE CIUDAD DE DIOS,246718
403,246729,CONSORCIO MARVIL,246729
404,246733,ESTACIÓN DE SERVICIO DIEGO CUBA Y MARTINA ALAYO CHACON,246733
405,246735,consorcio chura serrano abel alejo/vargas quintanilla roger EIRL,246735
406,246739,CONSORCIO ANDAHUAYLAS,246739
407,246743,DRENES LA ARENA,246743
408,246746,PIRAMIDE,246746
409,246748,consorcio chura serrano abel alejo/vargas quintanilla roger EIRL,246748
410,246749,consorcio chura serrano abel alejo/vargas quintanilla roger EIRL,246749
411,246765,J.P.Y. SPORTS SCRL.  - STEPHANY YANAC SUERO,246765
412,246776,CONSORCIO RIEGO PAUCAS,246776
413,246777,CONSORCIO ALECONG,246777
414,246778,CONSORCIO ROSSMERY VELASCO CHAMORRO Y ALICIA ARACELI SOTA COLAN,246778
415,246780,CONSORCIO INGENIEROS,246780
416,246781,CONSORCIO ANGELES,246781
417,246789,VIRGEN SANTA ANA,246789
418,246797,CONSORCIO A Y B CALLE SANCA TEODORO - TECNO ANDES GROUP EIRL,246797
419,246798,CONSORCIO GRUPO SHARMELY EIRL Y PROCANING SRL,246798
420,246802,CONSORCIO DIANLUK S.R.L. - DV BUSINESS E.I.R.L.,246802
421,246810,CONSORCIO SUPERVISOR MALVAS,246810
422,246822,CONSORCIO WANKAR,246822
423,246829,CONSORCIO TORTOLA,246829
424,246835,CONSORCIO AYNAMAYO,246835
425,246837,"MAPFRE PERU COMPAÑIA DE SEGUROS Y REASEGUROS S.A., MAPFRE PERU VIDA COMPAÑIA DE SEGUROS Y REASEGUROS Y MAPFRE PERU S.A. ENTIDAD PRESTADORA DE SALUD ",246837
426,246838,CONSORCIO INGENIEROS,246838
427,246842,CONSORCIO HS MAQUINARIAS,246842
428,246845,CONSORCIO DEPORTIVO MAZOCRUZ,246845
429,246848,CONSORCIO CHINKANA,246848
430,246866,CONSORCIO EDITH RAMOS CALDERON - MIGUEL ANGEL SANCHO ESPINOZA,246866
431,246868,CONSORCIO SUPERVISOR SAN ISIDRO,246868
432,246870,CONSORCIO ANTUNEZ,246870
433,246873,CONSORCIO INTEGRADO POR APOYO TOTAL S.A. Y EFIENZA S.A.C.,246873
434,246881,CONSORCIO GRUPOS AGROINDUSTRIALES EIRL-  INDUSTRIAS ALIMENTARIAS R&R EIRL. ,246881
435,246893,CONSORCIO DEFENSORES,246893
436,246895,CONSORCIO  ESIR,246895
437,246901,CONSORCIO OLMOS,246901
438,246906,CONSORCIO PASCO,246906
439,246907,CONSORCIO 04 DE OCTUBRE,246907
440,246921,CONSORCIO JJ,246921
441,246928,CONSORCIO LACHAY,246928
442,246940,CONSORCIO LIMA VERDE,246940
443,246941,CONSORCIO SEÑOR DE LOS MILAGROS,246941
444,246948,PROCESO DE ADMISION PNP-I 2018,246948
445,246950,LOINTEGRA,246950
446,246964,CONSORCIO PIHUER,246964
447,246966,CONSORCIO GRUPO SUR ,246966
448,246992,CONSORCIO INTEGRADO POR: BAC ENGINEERING CONSULTANCY GROUP-SUCURSAL PERU y PERCY ALBERTO PAREDES SILVA,246992
449,247002,NEGOCIACIONES VADIS SA.C. Y PUKARA FINANCIAL GROUP S.A.C.,247002
450,247010,CONSORCIO JACOB,247010
451,247024,CONSORCIO WILFREDO,247024
452,247031,CONSORCIO WAIRA,247031
453,247037,CONSORCIO PERUTINYASH,247037
454,247041,CONSORCIO SAN JUAN DE YANACOCHA,247041
455,247048,CONSORCIO EL COLLAO,247048
