,CodCte,RucCte,NomCte,CodTipCte
165,20134052989,20134052989,ENTIDAD PRESTADORA DE SERVICIO DE SANEAMIENTO DE TACNA S.A,
166,20135604551,20135604551,SOCIEDAD DE BENEFICENCIA PUBLICA DE LIMA,
167,20135727394,20135727394,"CONSEJO NACIONAL DE CIENCIA, TECNOLOGIA E INNOVACION TECNOLOGICA",
168,20135890031,20135890031,INSTITUTO NACIONAL DE DEFENSA CIVIL,
169,20135890112,20135890112,MUNICIPALIDAD DISTRITAL DE SANTA ROSA - LIMA,
170,20135897044,20135897044,INSTITUTO PERUANO DEL DEPORTE,
171,20136341066,20136341066,"SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE CHIMBOTE, CASMA Y HUARMEY",
172,20136353315,20136353315,ENTIDAD PRESTADORA DE SERVICIO DE SANEAMIENTO DE CUSCO S.A.,
173,20137289921,20137289921,MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA,
174,20137592437,20137592437,INSTITUTO METROPOLITANO DE PLANIFICACION,
175,20137729751,20137729751,HOSPITAL NACIONAL DOCENTE MADRE NINO - SAN BARTOLOME,
176,20137921601,20137921601,FONDO NACIONAL DE DESARROLLO PESQUERO,
177,20138021140,20138021140,INSTITUTO PEDAGOGICO NACIONAL DE MONTERRICO,
178,20138100015,20138100015,HOSPITAL DE EMERGENCIAS - JOSE CASIMIRO ULLOA,
179,20138695884,20138695884,FONDO MUNICIPAL DE INVERSIONES DEL CALLAO,
180,20138705944,20138705944,UNIVERSIDAD NACIONAL DEL CALLAO,
181,20139776403,20139776403,HOSPITAL DE EMERGENCIAS PEDIATRICAS,
182,20140080471,20140080471,MUNICIPALIDAD DISTRITAL DE ASIA - CANETE,
183,20140266575,20140266575,GOBIERNO REGIONAL DE CUSCO - PROYECTO ESPECIAL PLAN MERISS INKA,
184,20140269329,20140269329,UNIVERSIDAD NACIONAL DIEGO QUISPE TITO,
185,20141418557,20141418557,MUNICIPALIDAD PROVINCIAL DE HUACHO - HUAURA,
186,20141602137,20141602137,MUNICIPALIDAD DISTRITAL DE EL MILAGRO,
187,20141750241,20141750241,SOCIEDAD DE BENEFICENCIA PUBLICA DE AYABACA,
188,20141784901,20141784901,MUNICIPALIDAD PROVINCIAL DE CHICLAYO,
189,20141785037,20141785037,MUNICIPALIDAD DISTRITAL DE JAYANCA,
190,20141814312,20141814312,EMPRESA PRESTADORA DE SERVICIOS DE SANEAMIENTO MARANON S.A.,
191,20141897935,20141897935,MUNICIPALIDAD PROVINCIAL DE SANCHEZ CARRION - HUAMACHUCO,
192,20142167744,20142167744,MUNICIPALIDAD PROVINCIAL DE ICA,
193,20142411246,20142411246,SOCIEDAD DE BENEFICENCIA PUBLICA DE TACNA,
194,20142438365,20142438365,MUNICIPALIDAD DISTRITAL DE PACHIA,
195,20142659299,20142659299,MUNICIPALIDAD DISTRITAL DE LA BANDA DE SHILCAYO,
196,20142701597,20142701597,MUNICIPALIDAD PROVINCIAL DE BARRANCA,
197,20142747155,20142747155,MUNICIPALIDAD PROVINCIAL DE HUARMEY,
198,20143079075,20143079075,SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE AYACUCHO S.A,
199,20143082297,20143082297,MUNICIPALIDAD PROVINCIAL DE LUCANAS - PUQUIO,
200,20143099262,20143099262,MUNICIPALIDAD PROVINCIAL DE HUANTA,
201,20143109241,20143109241,MUNICIPALIDAD DISTRITAL DE LURICOCHA,
202,20143114911,20143114911,MUNICIPALIDAD DISTRITAL DE SAN JUAN BAUTISTA - HUAMANGA,
203,20143117261,20143117261,GOBIERNO REGIONAL DE AYACUCHO - PROYECTO ESPECIAL RIO CACHI,
204,20143117422,20143117422,SOCIEDAD DE BENEFICENCIA PUBLICA DE AYACUCHO,
205,20143122850,20143122850,MINAG - PROYECTO ESPECIAL SIERRA CENTRO SUR,
206,20143137296,20143137296,MUNICIPALIDAD PROVINCIAL DE HUAMANGA,
207,20143148492,20143148492,MUNICIPALIDAD DISTRITAL DE IGUAIN,
208,20143157301,20143157301,MUNICIPALIDAD DISTRITAL DE AYAHUANCO,
209,20143157483,20143157483,MUNICIPALIDAD DISTRITAL DE SANTILLANA,
210,20143157564,20143157564,MUNICIPALIDAD DISTRITAL DE HUAMANGUILLA,
211,20143159001,20143159001,MUNICIPALIDAD DISTRITAL DE AYNA SAN FRANCISCO,
212,20143166717,20143166717,MUNICIPALIDAD PROVINCIAL DE CANGALLO,
213,20143189091,20143189091,MUNICIPALIDAD DISTRITAL DE HUARANGO,
214,20143189415,20143189415,MUNICIPALIDAD DISTRITAL DE CHETILLA,
215,20143611893,20143611893,EMPRESA MUNICIPAL DE SERVICIO ELECTRICO DE TOCACHE S.A.,
216,20143612431,20143612431,EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE SAN MARTIN S.A.,
217,20143623042,20143623042,MUNICIPALIDAD PROVINCIAL DE CAJAMARCA,
218,20143625681,20143625681,MUNICIPALIDAD DISTRITAL DE LOS BANOS DEL INCA,
219,20143625843,20143625843,MUNICIPALIDAD PROVINCIAL DE SAN MIGUEL,
220,20143628354,20143628354,MUNICIPALIDAD DISTRITAL DE ACOCRO,
221,20143629679,20143629679,MUNICIPALIDAD DISTRITAL DE QUINUA,
222,20143659233,20143659233,MUNICIPALIDAD DISTRITAL DE CARMEN ALTO,
223,20143659829,20143659829,MUNICIPALIDAD DISTRITAL DE TAMBILLO,
224,20143660088,20143660088,MUNICIPALIDAD DISTRITAL DE ACOS VINCHOS,
225,20143660169,20143660169,MUNICIPALIDAD DISTRITAL DE TOTOS,
226,20143660754,20143660754,UNIVERSIDAD NACIONAL SAN CRISTOBAL DE HUAMANGA,
227,20143661483,20143661483,MUNICIPALIDAD DISTRITAL DE SAN JOSE DE TICLLAS,
228,20143671446,20143671446,MUNICIPALIDAD DISTRITAL DE OCROS,
229,20143671527,20143671527,MUNICIPALIDAD DISTRITAL DE VINCHOS,
230,20143700136,20143700136,ESCUELA NACIONAL SUPERIOR AUTONOMA DE BELLAS ARTES DEL PERU,
231,20143772129,20143772129,MUNICIPALIDAD DISTRITAL DE SANTA ROSA DE QUIVES,
232,20144292040,20144292040,MUNICIPALIDAD DISTRITAL DE SILLAPATA,
233,20144329148,20144329148,INSTITUTO NACIONAL MATERNO PERINATAL,
234,20144364059,20144364059,FUERZA AEREA DEL PERU,
235,20144801459,20144801459,MUNICIPALIDAD DISTRITAL DE RIPAN,
236,20145420513,20145420513,MUNICIPALIDAD DISTRITAL DE SANTA MARIA DEL MAR,
237,20145483353,20145483353,MUNICIPALIDAD DISTRITAL DE CAPASO,
238,20145496170,20145496170,UNIVERSIDAD NACIONAL DEL ALTIPLANO,
239,20145561095,20145561095,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU,
240,20145561842,20145561842,GOBIERNO REGIONAL DE JUNIN - DIRECCION REGIONAL DE PRODUCCION DE JUNIN,
241,20145614121,20145614121,MUNICIPALIDAD PROVINCIAL DE MELGAR - AYAVIRI,
242,20145686548,20145686548,GOBIERNO REGIONAL DE PUNO-SALUD SAN ROMAN,
243,20145698121,20145698121,GOBIERNO REGIONAL DE PUNO-CARRETERA TRANSOCEANICA,
244,20145705780,20145705780,MUNICIPALIDAD PROVINCIAL DE SAN ANTONIO DE PUTINA,
245,20145850798,20145850798,MUNICIPALIDAD PROVINCIAL DE DOS DE MAYO - LA UNION,
246,20145882720,20145882720,MUNICIPALIDAD DISTRITAL DE SHUNQUI,
247,20145883378,20145883378,MUNICIPALIDAD DISTRITAL DE CHUQUIS,
248,20145883459,20145883459,MUNICIPALIDAD DISTRITAL DE BANOS,
249,20145883530,20145883530,MUNICIPALIDAD DISTRITAL DE QUIVILLA,
250,20145913544,20145913544,SERVICIOS DE PARQUES DE LIMA,
251,20146008845,20146008845,MUNICIPALIDAD PROVINCIAL DE HUANUCO,
252,20146008926,20146008926,MUNICIPALIDAD PROVINCIAL DE AMBO,
253,20146009060,20146009060,MUNICIPALIDAD DISTRITAL DE AMARILIS,
254,20146021191,20146021191,SOCIEDAD DE BENEFICENCIA PUBLICA DE HUANUCO,
255,20146038329,20146038329,GOBIERNO REGIONAL DE HUANUCO-HOSPITAL DE HUANUCO HERMILIO VALDIZAN,
256,20146045881,20146045881,GOBIERNO REGIONAL DE HUANUCO - DIRECCION REGIONAL DE SALUD - HUANUCO,
257,20146247084,20146247084,MUNICIPALIDAD PROVINCIAL DE PUNO,
258,20146266208,20146266208,MUNICIPALIDAD DISTRITAL DE POMATA,
259,20146326031,20146326031,MUNICIPALIDAD DISTRITAL DE OCUVIRI,
260,20146501487,20146501487,MUNICIPALIDAD DISTRITAL DE MOROCOCHA,
261,20146506284,20146506284,MUNICIPALIDAD DISTRITAL DE HUAYHUAY,
262,20146510800,20146510800,MUNICIPALIDAD DISTRITAL DE PACCHA - YAULI,
263,20146510982,20146510982,MUNICIPALIDAD DISTRITAL DE SANTA ROSA DE SACCO,
264,20146511873,20146511873,MUNICIPALIDAD DISTRITAL DE YAULI - YAULI,
265,20146511954,20146511954,MUNICIPALIDAD DISTRITAL DE SANTA BARBARA DE CARHUACAYAN,
266,20146536787,20146536787,GOBIERNO REGIONAL DE JUNIN - HOSPITAL EL CARMEN,
267,20146640843,20146640843,MUNICIPALIDAD DISTRITAL DE PICHANAKI,
268,20146657142,20146657142,MUNICIPALIDAD DISTRITAL DE SAN RAMON,
269,20146663461,20146663461,MUNICIPALIDAD PROVINCIAL DE CHANCHAMAYO,
270,20146672371,20146672371,MUNICIPALIDAD DISTRITAL DE LLAYLLA,
271,20146673776,20146673776,MUNICIPALIDAD DISTRITAL DE PANGOA,
272,20146674403,20146674403,MUNICIPALIDAD PROVINCIAL DE SATIPO,
273,20146675124,20146675124,MUNICIPALIDAD DISTRITAL DE COVIRIALI,
274,20146678221,20146678221,MUNICIPALIDAD DISTRITAL DE RIO NEGRO,
275,20146686240,20146686240,MUNICIPALIDAD DISTRITAL DE AMBAR,
276,20146694854,20146694854,MUNICIPALIDAD DISTRITAL DE LA BREA NEGRITOS,
277,20146697527,20146697527,MUNICIPALIDAD DISTRITAL DE LA HUACA,
278,20146713824,20146713824,MUNICIPALIDAD PROVINCIAL DE TALARA - PARINAS,
279,20146721410,20146721410,MUNICIPALIDAD PROVINCIAL DE SECHURA,
280,20146721924,20146721924,MUNICIPALIDAD DISTRITAL DE CURA MORI,
281,20146722653,20146722653,MUNICIPALIDAD DISTRITAL DE LA UNION - PIURA,
282,20146728007,20146728007,MUNICIPALIDAD DISTRITAL DE FRIAS,
283,20146733698,20146733698,MUNICIPALIDAD DISTRITAL DE SONDOR,
284,20146736875,20146736875,MUNICIPALIDAD DISTRITAL DE TAMBOGRANDE,
285,20146744894,20146744894,SOCIEDAD DE BENEFICENCIA PUBLICA DE CATACAOS,
286,20146761985,20146761985,MUNICIPALIDAD DISTRITAL DE QUERECOTILLO,
287,20146777121,20146777121,SOCIEDAD DE BENEFICENCIA PUBLICA DE PAITA,
288,20146791540,20146791540,MUNICIPALIDAD DISTRITAL DE PICSI,
289,20146806679,20146806679,MUNICIPALIDAD PROVINCIAL DE MOYOBAMBA,
290,20146898697,20146898697,MUNICIPALIDAD PROVINCIAL DE CHINCHA - CHINCHA ALTA,
291,20146911979,20146911979,MUNICIPALIDAD PROVINCIAL DE CASTROVIRREYNA,
292,20146917152,20146917152,MUNICIPALIDAD DISTRITAL DE LA PECA,
293,20146917314,20146917314,MUNICIPALIDAD PROVINCIAL DE UTCUBAMBA - BAGUA GRANDE,
294,20146917403,20146917403,MUNICIPALIDAD DISTRITAL DE LONYA GRANDE,
295,20146918043,20146918043,MUNICIPALIDAD DISTRITAL DE CUMBA,
296,20146919104,20146919104,MUNICIPALIDAD DISTRITAL DE HUANCAS - AMAZONAS,
297,20146919287,20146919287,MUNICIPALIDAD DISTRITAL DE LUYA,
298,20146920374,20146920374,MUNICIPALIDAD DISTRITAL DE SANTA CRUZ - HUAYLAS,
299,20146921427,20146921427,MUNICIPALIDAD DISTRITAL DE INDEPENDENCIA - HUARAZ,
300,20146925686,20146925686,GOBIERNO REGIONAL DE ANCASH-SALUD UTES CARAZ,
301,20146925767,20146925767,MUNICIPALIDAD PROVINCIAL DE HUAYLAS - CARAZ,
302,20146925848,20146925848,MUNICIPALIDAD DISTRITAL DE PAMPAROMAS,
303,20146925929,20146925929,MUNICIPALIDAD DISTRITAL DE HUALLANCA - HUAYLAS,
