,CodProSel,CodPip,FacProSel,DesProSel,TipProSel,FecProSel
111,204,2043362,OBRAS,Fecha de Buena Pro,PROGRAMADA,18/08/2016
112,205,2043362,OBRAS,Fecha de Suscripcion de Contrato,PROGRAMADA,2/09/2016
113,206,2043362,OBRAS,Fecha de Convocatoria,ACTUALIZADA,4/08/2016
114,207,2043362,OBRAS,Fecha de Actuaciones Preparatorias,ACTUALIZADA,4/08/2016
115,208,2043362,OBRAS,Fecha de Integracion de Bases,ACTUALIZADA,11/08/2016
116,209,2043362,OBRAS,Fecha de Buena Pro,ACTUALIZADA,18/08/2016
117,210,2043362,OBRAS,Fecha de Suscripcion de Contrato,ACTUALIZADA,2/09/2016
118,211,2045681,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,PROGRAMADA,21/11/2019
119,212,2045681,INFRAESTRUCTURA,Fecha de Convocatoria,PROGRAMADA,21/11/2019
120,213,2045681,INFRAESTRUCTURA,Fecha de Integracion de Bases,PROGRAMADA,11/12/2019
121,214,2045681,INFRAESTRUCTURA,Fecha de Buena Pro,PROGRAMADA,20/01/2020
122,215,2045681,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,PROGRAMADA,13/02/2020
123,216,2045681,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,ACTUALIZADA,21/11/2019
124,217,2045681,INFRAESTRUCTURA,Fecha de Convocatoria,ACTUALIZADA,1/10/2020
125,218,2045681,INFRAESTRUCTURA,Fecha de Integracion de Bases,ACTUALIZADA,14/10/2020
126,219,2045681,INFRAESTRUCTURA,Fecha de Buena Pro,ACTUALIZADA,9/11/2020
127,220,2045681,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,ACTUALIZADA,20/11/2020
128,221,2046101,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,PROGRAMADA,1/12/2019
129,222,2046101,INFRAESTRUCTURA,Fecha de Convocatoria,PROGRAMADA,2/12/2019
130,223,2046101,INFRAESTRUCTURA,Fecha de Integracion de Bases,PROGRAMADA,20/01/2020
131,224,2046101,INFRAESTRUCTURA,Fecha de Buena Pro,PROGRAMADA,13/03/2020
132,225,2046101,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,PROGRAMADA,8/04/2020
133,226,2046101,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,ACTUALIZADA,18/07/2020
134,227,2046101,INFRAESTRUCTURA,Fecha de Convocatoria,ACTUALIZADA,19/07/2020
135,228,2046101,INFRAESTRUCTURA,Fecha de Integracion de Bases,ACTUALIZADA,17/08/2020
136,229,2046101,INFRAESTRUCTURA,Fecha de Buena Pro,ACTUALIZADA,3/09/2020
137,230,2046101,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,ACTUALIZADA,29/09/2020
138,241,2046824,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,PROGRAMADA,2/08/2018
139,242,2046824,INFRAESTRUCTURA,Fecha de Convocatoria,PROGRAMADA,10/08/2018
140,243,2046824,INFRAESTRUCTURA,Fecha de Integracion de Bases,PROGRAMADA,20/08/2018
141,244,2046824,INFRAESTRUCTURA,Fecha de Buena Pro,PROGRAMADA,24/08/2018
142,245,2046824,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,PROGRAMADA,21/09/2018
143,246,2046824,INFRAESTRUCTURA,Fecha de Buena Pro,ACTUALIZADA,
144,247,2046824,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,ACTUALIZADA,
145,248,2046824,INFRAESTRUCTURA,Fecha de Integracion de Bases,ACTUALIZADA,
146,249,2046824,INFRAESTRUCTURA,Fecha de Convocatoria,ACTUALIZADA,
147,250,2046824,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,ACTUALIZADA,
148,251,2046984,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,PROGRAMADA,3/09/2013
149,252,2046984,INFRAESTRUCTURA,Fecha de Convocatoria,PROGRAMADA,10/09/2013
150,253,2046984,INFRAESTRUCTURA,Fecha de Integracion de Bases,PROGRAMADA,14/11/2013
151,254,2046984,INFRAESTRUCTURA,Fecha de Buena Pro,PROGRAMADA,25/11/2013
152,255,2046984,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,PROGRAMADA,7/01/2014
153,256,2046984,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,ACTUALIZADA,7/01/2013
154,257,2046984,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,ACTUALIZADA,3/09/2013
155,258,2046984,INFRAESTRUCTURA,Fecha de Convocatoria,ACTUALIZADA,10/09/2013
156,259,2046984,INFRAESTRUCTURA,Fecha de Integracion de Bases,ACTUALIZADA,14/11/2013
157,260,2046984,INFRAESTRUCTURA,Fecha de Buena Pro,ACTUALIZADA,25/11/2013
158,271,2047397,MITIGACION DEL IMPACTO AMBIENTAL,Fecha de Actuaciones Preparatorias,PROGRAMADA,24/07/2018
159,272,2047397,MITIGACION DEL IMPACTO AMBIENTAL,Fecha de Convocatoria,PROGRAMADA,25/07/2018
160,273,2047397,MITIGACION DEL IMPACTO AMBIENTAL,Fecha de Integracion de Bases,PROGRAMADA,24/08/2018
161,274,2047397,MITIGACION DEL IMPACTO AMBIENTAL,Fecha de Buena Pro,PROGRAMADA,24/09/2018
162,275,2047397,MITIGACION DEL IMPACTO AMBIENTAL,Fecha de Suscripcion de Contrato,PROGRAMADA,16/10/2018
163,276,2047397,MITIGACION DEL IMPACTO AMBIENTAL,Fecha de Actuaciones Preparatorias,ACTUALIZADA,24/07/2018
164,277,2047397,MITIGACION DEL IMPACTO AMBIENTAL,Fecha de Convocatoria,ACTUALIZADA,13/08/2018
165,278,2047397,MITIGACION DEL IMPACTO AMBIENTAL,Fecha de Integracion de Bases,ACTUALIZADA,24/08/2018
166,279,2047397,MITIGACION DEL IMPACTO AMBIENTAL,Fecha de Buena Pro,ACTUALIZADA,24/09/2018
167,280,2047397,MITIGACION DEL IMPACTO AMBIENTAL,Fecha de Suscripcion de Contrato,ACTUALIZADA,16/10/2018
168,281,2047402,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,PROGRAMADA,11/08/2020
169,282,2047402,INFRAESTRUCTURA,Fecha de Convocatoria,PROGRAMADA,14/08/2020
170,283,2047402,INFRAESTRUCTURA,Fecha de Integracion de Bases,PROGRAMADA,5/02/2021
171,284,2047402,INFRAESTRUCTURA,Fecha de Buena Pro,PROGRAMADA,18/02/2021
172,285,2047402,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,PROGRAMADA,6/03/2021
173,286,2047402,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,ACTUALIZADA,28/10/2020
174,287,2047402,INFRAESTRUCTURA,Fecha de Convocatoria,ACTUALIZADA,28/10/2020
175,288,2047402,INFRAESTRUCTURA,Fecha de Integracion de Bases,ACTUALIZADA,5/02/2021
176,289,2047402,INFRAESTRUCTURA,Fecha de Buena Pro,ACTUALIZADA,18/02/2021
177,290,2047402,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,ACTUALIZADA,6/03/2021
178,291,2047460,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,PROGRAMADA,15/01/2021
179,292,2047460,INFRAESTRUCTURA,Fecha de Convocatoria,PROGRAMADA,25/02/2021
180,293,2047460,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,ACTUALIZADA,25/01/2021
181,294,2047460,INFRAESTRUCTURA,Fecha de Convocatoria,ACTUALIZADA,
182,295,2047954,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,PROGRAMADA,1/03/2019
183,296,2047954,INFRAESTRUCTURA,Fecha de Convocatoria,PROGRAMADA,22/05/2019
184,297,2047954,INFRAESTRUCTURA,Fecha de Integracion de Bases,PROGRAMADA,11/06/2019
185,298,2047954,INFRAESTRUCTURA,Fecha de Buena Pro,PROGRAMADA,26/06/2019
186,299,2047954,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,PROGRAMADA,23/07/2019
187,300,2047954,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,ACTUALIZADA,1/03/2019
188,301,2047954,INFRAESTRUCTURA,Fecha de Convocatoria,ACTUALIZADA,22/05/2019
189,302,2047954,INFRAESTRUCTURA,Fecha de Integracion de Bases,ACTUALIZADA,11/06/2019
190,303,2047954,INFRAESTRUCTURA,Fecha de Buena Pro,ACTUALIZADA,26/06/2019
191,304,2047954,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,ACTUALIZADA,23/07/2019
192,305,2048543,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,PROGRAMADA,2/04/2018
193,306,2048543,INFRAESTRUCTURA,Fecha de Convocatoria,PROGRAMADA,18/04/2018
194,307,2048543,INFRAESTRUCTURA,Fecha de Integracion de Bases,PROGRAMADA,14/05/2018
195,308,2048543,INFRAESTRUCTURA,Fecha de Buena Pro,PROGRAMADA,1/06/2018
196,309,2048543,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,PROGRAMADA,25/06/2018
197,310,2048543,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,ACTUALIZADA,2/04/2018
198,311,2048543,INFRAESTRUCTURA,Fecha de Convocatoria,ACTUALIZADA,18/04/2018
199,312,2048543,INFRAESTRUCTURA,Fecha de Integracion de Bases,ACTUALIZADA,14/05/2018
200,313,2048543,INFRAESTRUCTURA,Fecha de Buena Pro,ACTUALIZADA,1/06/2018
201,314,2048543,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,ACTUALIZADA,25/06/2018
202,335,2021280,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,PROGRAMADA,1/02/2014
203,336,2021280,INFRAESTRUCTURA,Fecha de Convocatoria,PROGRAMADA,7/02/2014
204,337,2021280,INFRAESTRUCTURA,Fecha de Integracion de Bases,PROGRAMADA,3/04/2014
205,338,2021280,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,PROGRAMADA,5/05/2014
206,339,2021280,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,ACTUALIZADA,1/02/2014
207,340,2021280,INFRAESTRUCTURA,Fecha de Convocatoria,ACTUALIZADA,7/02/2014
208,341,2021280,INFRAESTRUCTURA,Fecha de Integracion de Bases,ACTUALIZADA,3/04/2014
209,342,2021280,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,ACTUALIZADA,5/05/2014
210,343,2021281,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,PROGRAMADA,30/09/2008
211,344,2021281,INFRAESTRUCTURA,Fecha de Convocatoria,PROGRAMADA,13/10/2008
212,345,2021281,INFRAESTRUCTURA,Fecha de Integracion de Bases,PROGRAMADA,6/11/2008
213,346,2021281,INFRAESTRUCTURA,Fecha de Buena Pro,PROGRAMADA,13/11/2008
214,347,2021281,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,PROGRAMADA,26/11/2008
215,348,2021281,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,ACTUALIZADA,30/09/2008
216,349,2021281,INFRAESTRUCTURA,Fecha de Convocatoria,ACTUALIZADA,13/10/2008
217,350,2021281,INFRAESTRUCTURA,Fecha de Integracion de Bases,ACTUALIZADA,6/11/2008
218,351,2021281,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,ACTUALIZADA,26/11/2008
219,352,2021281,INFRAESTRUCTURA,Fecha de Buena Pro,ACTUALIZADA,26/11/2008
220,383,2025719,INTANGIBLES,Fecha de Actuaciones Preparatorias,PROGRAMADA,8/11/2019
221,384,2025719,INTANGIBLES,Fecha de Convocatoria,PROGRAMADA,14/11/2019
222,385,2025719,INTANGIBLES,Fecha de Integracion de Bases,PROGRAMADA,3/12/2019
223,386,2025719,INTANGIBLES,Fecha de Buena Pro,PROGRAMADA,19/12/2019
224,387,2025719,INTANGIBLES,Fecha de Suscripcion de Contrato,PROGRAMADA,
225,388,2025719,INTANGIBLES,Fecha de Actuaciones Preparatorias,ACTUALIZADA,3/02/2020
226,389,2025719,INTANGIBLES,Fecha de Convocatoria,ACTUALIZADA,7/02/2020
227,390,2025719,INTANGIBLES,Fecha de Integracion de Bases,ACTUALIZADA,2/07/2020
228,391,2025719,INTANGIBLES,Fecha de Buena Pro,ACTUALIZADA,15/07/2020
229,392,2025719,INTANGIBLES,Fecha de Suscripcion de Contrato,ACTUALIZADA,13/08/2020
230,393,2025914,INFRAESTRUCTURA,Fecha de Buena Pro,PROGRAMADA,
231,394,2025914,INFRAESTRUCTURA,Fecha de Convocatoria,PROGRAMADA,
232,395,2025914,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,PROGRAMADA,
233,396,2025914,INFRAESTRUCTURA,Fecha de Integracion de Bases,PROGRAMADA,
234,397,2025914,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,PROGRAMADA,
235,398,2025914,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,ACTUALIZADA,12/03/2019
236,399,2025914,INFRAESTRUCTURA,Fecha de Convocatoria,ACTUALIZADA,24/04/2019
237,400,2025914,INFRAESTRUCTURA,Fecha de Integracion de Bases,ACTUALIZADA,30/04/2019
238,401,2025914,INFRAESTRUCTURA,Fecha de Buena Pro,ACTUALIZADA,16/05/2019
239,402,2025914,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,ACTUALIZADA,11/06/2019
240,403,2025925,ADECUADA INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,PROGRAMADA,22/09/2020
241,404,2025925,ADECUADA INFRAESTRUCTURA,Fecha de Convocatoria,PROGRAMADA,20/10/2020
242,431,2078794,INFRAESTRUCTURA (Sin ET),Fecha de Actuaciones Preparatorias,PROGRAMADA,18/12/2017
243,432,2078794,INFRAESTRUCTURA (Sin ET),Fecha de Convocatoria,PROGRAMADA,22/01/2018
244,433,2078794,INFRAESTRUCTURA (Sin ET),Fecha de Integracion de Bases,PROGRAMADA,20/02/2018
245,434,2078794,INFRAESTRUCTURA (Sin ET),Fecha de Buena Pro,PROGRAMADA,12/03/2018
246,435,2078794,INFRAESTRUCTURA (Sin ET),Fecha de Suscripcion de Contrato,PROGRAMADA,17/04/2018
247,436,2078794,INFRAESTRUCTURA (Sin ET),Fecha de Actuaciones Preparatorias,ACTUALIZADA,18/12/2017
248,437,2078794,INFRAESTRUCTURA (Sin ET),Fecha de Convocatoria,ACTUALIZADA,22/01/2018
249,438,2078794,INFRAESTRUCTURA (Sin ET),Fecha de Integracion de Bases,ACTUALIZADA,20/02/2018
250,439,2078794,INFRAESTRUCTURA (Sin ET),Fecha de Buena Pro,ACTUALIZADA,12/03/2018
251,440,2078794,INFRAESTRUCTURA (Sin ET),Fecha de Suscripcion de Contrato,ACTUALIZADA,17/04/2018
252,451,2079442,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,PROGRAMADA,16/07/2019
253,452,2079442,INFRAESTRUCTURA,Fecha de Convocatoria,PROGRAMADA,13/08/2019
254,453,2079442,INFRAESTRUCTURA,Fecha de Integracion de Bases,PROGRAMADA,27/08/2019
255,454,2079442,INFRAESTRUCTURA,Fecha de Buena Pro,PROGRAMADA,6/09/2019
256,455,2079442,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,PROGRAMADA,2/10/2019
257,456,2079442,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,ACTUALIZADA,
258,457,2079442,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,ACTUALIZADA,
259,458,2079442,INFRAESTRUCTURA,Fecha de Buena Pro,ACTUALIZADA,
260,459,2079442,INFRAESTRUCTURA,Fecha de Integracion de Bases,ACTUALIZADA,
261,460,2079442,INFRAESTRUCTURA,Fecha de Convocatoria,ACTUALIZADA,
262,461,2080382,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,PROGRAMADA,1/06/2020
