,CodPro,CodCta,NomPro,PaisPro,DepPro,ProvPro,DisPro,RegPro
46,10001266034,10001266034,DIMAS GARCIA VICTOR,PERU,UCAYALI,CORONEL PORTILLO,YARINACOCHA,Proveedor de Servicios
47,10001502579,10001502579,TORIBIO GIRON GREGORIA FAUSTA,PERU,UCAYALI,ATALAYA,RAYMONDI,Proveedor de Servicios
48,10001525200,10001525200,PACAYA MIQUEAS CLENY ELIZABETH,PERU,UCAYALI,ATALAYA,RAYMONDI,Proveedor de Bienes
49,10001570841,10001570841,ROMAINA SHUPINGAHUA ROSARIO,PERU,UCAYALI,CORONEL PORTILLO,CALLERIA,Proveedor de Bienes
50,10001592934,10001592934,ZUNIIGA ARIAS JUAN RAMON,PERU,UCAYALI,ATALAYA,RAYMONDI,Proveedor de Servicios
51,10001600252,10001600252,RIVAS TAIPE JULIAN,PERU,UCAYALI,ATALAYA,RAYMONDI,Proveedor de Servicios
52,10001641994,10001641994,MOGROVEJO LUNA RUBEN,PERU,CUSCO,LA CONVENCION,ECHARATE,Proveedor de Bienes
53,10001656576,10001656576,MURAYARI ETENE CONSUELO,PERU,UCAYALI,ATALAYA,RAYMONDI,Proveedor de Bienes
54,10001659991,10001659991,RENGIFO DIAZ CUSTODIO,PERU,UCAYALI,CORONEL PORTILLO,CALLERIA,Proveedor de Servicios
55,10001661995,10001661995,CARRASCAL GUEVARA ISABEL DINA,PERU,UCAYALI,ATALAYA,RAYMONDI,Proveedor de Servicios
56,10001702209,10001702209,LAZO GARCIA HANNY,PERU,UCAYALI,PADRE ABAD,PADRE ABAD,Proveedor de Servicios
57,10001703191,10001703191,PAREDES PAREDES DE RIOS BLACINA,PERU,UCAYALI,PADRE ABAD,PADRE ABAD,Proveedor de Servicios
58,10001711852,10001711852,VARGAS ASCANO MIGUEL,PERU,UCAYALI,PADRE ABAD,PADRE ABAD,Proveedor de Servicios
59,10001727848,10001727848,VASQUEZ SUYO SANTOS,PERU,UCAYALI,PADRE ABAD,PADRE ABAD,Proveedor de Servicios
60,10001772720,10001772720,CHUJUTALLI CAMACHO YRENE,PERU,UCAYALI,PADRE ABAD,PADRE ABAD,Proveedor de Servicios
61,10001888418,10001888418,ROJAS ORELLANA JOSE SALVADOR,PERU,LIMA,HUAROCHIRI,MATUCANA,Proveedor de Servicios
62,10001900531,10001900531,SALDANIA HOYOS MIGUEL ALBERTO,PERU,UCAYALI,PURUS,PURUS,Proveedor de Servicios
63,10001906076,10001906076,RIOS DE HOYLE SELVA SOLEDAD,PERU,UCAYALI,PURUS,PURUS,Proveedor de Bienes
64,10001912815,10001912815,RODRIGUEZ OLORTEGUI JAVIER,PERU,UCAYALI,PURUS,PURUS,Proveedor de Bienes
65,10002001786,10002001786,DOMINGUEZ CALLE JUAN ELEOBALDO,PERU,TUMBES,TUMBES,TUMBES,Proveedor de Bienes
66,10002005773,10002005773,MONTERO VINCES RAFAEL,PERU,TUMBES,TUMBES,TUMBES,Proveedor de Bienes
67,10002015710,10002015710,ANTON VIERA MARIA CRISTINA,PERU,TUMBES,TUMBES,TUMBES,Proveedor de Servicios
68,10002027203,10002027203,IZQUIERDO CASTRO CARLOS ENRIQUE,PERU,TUMBES,TUMBES,TUMBES,Proveedor de Servicios
69,10002042393,10002042393,JIMENEZ ARRUNATEGUI SABINA SOFIA,PERU,LAMBAYEQUE,CHICLAYO,CHICLAYO,Proveedor de Bienes
70,10002046127,10002046127,AGUIRRE CHALE FELIX ELBER,PERU,TUMBES,TUMBES,TUMBES,Proveedor de Servicios
71,10002051112,10002051112,CRUZ LUPU ITALO,PERU,TUMBES,TUMBES,TUMBES,Proveedor de Servicios
72,10002064800,10002064800,AGUIRRE CHALE DANTE DEMETRIO,PERU,TUMBES,TUMBES,TUMBES,Proveedor de Bienes
73,10002086544,10002086544,RIVAS IPANAQUE LUZ MARIA,PERU,TUMBES,TUMBES,TUMBES,Proveedor de Servicios
74,10002101756,10002101756,MENDOZA PENA JULIO CESAR,PERU,TUMBES,TUMBES,TUMBES,Proveedor de Bienes
75,10002118454,10002118454,FLORES FARFAN SEGUNDO TEODULO,PERU,TUMBES,TUMBES,TUMBES,Proveedor de Bienes
76,10002132937,10002132937,GARCIA DE PACHERRES DOLORES VITALIA,PERU,TUMBES,TUMBES,TUMBES,Proveedor de Bienes
77,10002150609,10002150609,CORDOVA AGUIRRE GLORIA ANTONIETA,PERU,TUMBES,TUMBES,TUMBES,Proveedor de Servicios
78,10002167684,10002167684,OYOLA ESTRATTI JOSE LUIS GERARDO,PERU,TUMBES,TUMBES,TUMBES,Proveedor de Bienes
79,10002187219,10002187219,ROMERO ALEMAN SANTOS ENRIQUE,PERU,TUMBES,TUMBES,TUMBES,Proveedor de Servicios
80,10002187464,10002187464,AGUIRRE CHALE CESAR SANDRO YIMER,PERU,TUMBES,TUMBES,TUMBES,Proveedor de Servicios
81,10002198245,10002198245,MALDONADO CRUZ JUANA CARMENCITA,PERU,TUMBES,TUMBES,TUMBES,Proveedor de Servicios
82,10002205560,10002205560,RAMIREZ ALEMAN NIMIA MABEL,PERU,TUMBES,TUMBES,TUMBES,Proveedor de Bienes
83,10002210032,10002210032,ESCOBAR DE ROALCABA DORIS,PERU,TUMBES,TUMBES,CORRALES,Proveedor de Bienes
84,10002223631,10002223631,LINDAO MARTINEZ DE GALDOS MARIA MERCEDES,PERU,LIMA,LIMA,SAN JUAN DE MIRAFLORES,Proveedor de Servicios
85,10002286969,10002286969,CRUZ MEDINA ARELI,PERU,TUMBES,CONTRALMIRANTE VILLAR,ZORRITOS,Proveedor de Servicios
86,10002314385,10002314385,OCAMPO DE DELWIDES LUZ EMILIA,PERU,TUMBES,TUMBES,TUMBES,Proveedor de Servicios
87,10002362169,10002362169,SARANGO MORAN SEVERIANO,PERU,TUMBES,TUMBES,SAN JUAN DE LA VIRGEN,Proveedor de Bienes
88,10002374418,10002374418,ANGELES ROMERO TULIO DACIO,PERU,TUMBES,TUMBES,TUMBES,Proveedor de Servicios
89,10002381449,10002381449,ROSALES ANCAJIMA MIRELLA NANCY,PERU,TUMBES,TUMBES,TUMBES,Proveedor de Bienes
90,10002394273,10002394273,GUERRERO ASTUDILLO JANET THESALIA,PERU,LIMA,LIMA,PUEBLO LIBRE,Proveedor de Servicios
91,10002397248,10002397248,GARRIDO LOPEZ CARLOS MANUEL,PERU,TUMBES,CONTRALMIRANTE VILLAR,ZORRITOS,Proveedor de Bienes
92,10002397485,10002397485,OLAYA SANJINEZ DANNY FRANK,PERU,TUMBES,TUMBES,TUMBES,Proveedor de Bienes
93,10002401229,10002401229,VASQUEZ JIMENEZ WILLIAM DAMIAN,PERU,TUMBES,TUMBES,TUMBES,Proveedor de Bienes
94,10002463941,10002463941,SARANGO MUNIOZ LUIS ALBERTO,PERU,TUMBES,TUMBES,TUMBES,Proveedor de Bienes
95,10002475427,10002475427,BANDA TANTALEAN GILBERTO,PERU,TUMBES,TUMBES,TUMBES,Proveedor de Servicios
96,10002482938,10002482938,HERRERA IZQUIERDO KURT JAIRK,PERU,TUMBES,TUMBES,TUMBES,Proveedor de Servicios
97,10002501827,10002501827,BARRETO ESPINOZA MARILU ELENA,PERU,TUMBES,TUMBES,TUMBES,Proveedor de Bienes
98,10002529900,10002529900,BARBA NOLE MILTON CESAR,PERU,PIURA,PIURA,PIURA,Proveedor de Bienes
99,10002535799,10002535799,MONTERO MENDOZA JORGE SANTOS,PERU,LIMA,LIMA,SAN MARTIN DE PORRES,Proveedor de Servicios
100,10002538381,10002538381,GONZALES ZEGARRA LUIS ALEXANDER,PERU,TUMBES,TUMBES,TUMBES,Proveedor de Bienes
101,10002563253,10002563253,RUJEL SEMINARIO EDDY JHON,PERU,TUMBES,TUMBES,TUMBES,Consultor de Obras
102,10003219068,10003219068,OTERO RAMIREZ LILIANA ELIZABETH,PERU,TUMBES,CONTRALMIRANTE VILLAR,ZORRITOS,Proveedor de Bienes
103,10003239646,10003239646,ANGELES SILVA DE URTEAGA MARIA ANGELICA,PERU,LIMA,LIMA,BRENIA,Proveedor de Bienes
104,10003275987,10003275987,HURTADO LALUPU SANDRA MARIBEL,PERU,TUMBES,TUMBES,TUMBES,Proveedor de Servicios
105,10003683104,10003683104,CORDOVA SANDOVAL JANET DEL ROCIO,PERU,TUMBES,ZARUMILLA,AGUAS VERDES,Proveedor de Servicios
106,10003735694,10003735694,PUELL MENDOZA LUIS DALI,PERU,TUMBES,TUMBES,TUMBES,Proveedor de Servicios
107,10003741066,10003741066,IZQUIERDO SANJINEZ JUAN MANUEL,PERU,TUMBES,TUMBES,TUMBES,Consultor de Obras
108,10003741635,10003741635,ARCELA NEYRA JOSE ANGEL,PERU,TUMBES,TUMBES,TUMBES,Proveedor de Bienes
109,10004031852,10004031852,CALISAYA PEREYRA BENITO,PERU,TACNA,TACNA,TACNA,Proveedor de Servicios
110,10004069230,10004069230,CISTERNA - MARIA ISABEL,PERU,LIMA,LIMA,SANTIAGO DE SURCO,Proveedor de Bienes
111,10004076821,10004076821,QUINA VELASQUEZ REGULO,PERU,TACNA,TACNA,TACNA,Proveedor de Bienes
112,10004089877,10004089877,RONDINEL CORNEJO VICTOR HUGO,PERU,TACNA,TACNA,TACNA,Proveedor de Servicios
113,10004112950,10004112950,MEJIA STEFANOVICH VDA DE REJAS ADRIANA,PERU,TACNA,TACNA,TACNA,Proveedor de Servicios
114,10004121436,10004121436,ORMACHEA MONTES DELIA ELIANA,PERU,LIMA,LIMA,SANTIAGO DE SURCO,Proveedor de Servicios
115,10004153885,10004153885,PARODI CASSINELLI CAROLINA LUISA MARGARITA,PERU,TACNA,TACNA,TACNA,Proveedor de Servicios
116,10004168866,10004168866,ACOSTA PINTO VICTOR ALBERTO,PERU,TACNA,TACNA,TACNA,Proveedor de Bienes
117,10004184128,10004184128,TORRES CRUZ RODERICO SALOMON,PERU,TACNA,TACNA,CORONEL GREGORIO ALBARRACIN LANCHIPA,Proveedor de Bienes
118,10004200956,10004200956,ONQUE QUISPE SABINA GRACIELA,PERU,TACNA,TACNA,TACNA,Proveedor de Bienes
119,10004313564,10004313564,GIGLIO D'ALESSANDRO DUILIO GINO,PERU,TACNA,TACNA,TACNA,Proveedor de Bienes
120,10004327514,10004327514,MORALES CHIRI JUAN,PERU,TACNA,TACNA,TACNA,Proveedor de Servicios
121,10004352632,10004352632,RAMIREZ ADRIANZEN MIRIAM ESTHER,PERU,TACNA,TACNA,TACNA,Proveedor de Servicios
122,10004420522,10004420522,MAMANI ALAVE EDGAR FERNANDO,PERU,TACNA,TACNA,ALTO DE LA ALIANZA,Proveedor de Bienes
123,10004509655,10004509655,TOLEDO HUACHO GILBERTO IGNACIO,PERU,TACNA,TACNA,TACNA,Proveedor de Servicios
124,10004524565,10004524565,ROJAS DE VIZCARRA MARIA CELINA,PERU,TACNA,TACNA,TACNA,Proveedor de Bienes
125,10004567591,10004567591,GUTIERREZ MAMANI MARIANO CECILIO,PERU,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,Proveedor de Servicios
126,10004714186,10004714186,PLATERO MAMANI FELIX,PERU,TACNA,TACNA,TACNA,Proveedor de Bienes
127,10004714917,10004714917,PARI VARGAS MARY CRUZ,PERU,LIMA,LIMA,SAN BORJA,Proveedor de Servicios
128,10004752355,10004752355,VALDEZ VALDIVIA GUIDO JESUS,PERU,TACNA,TACNA,TACNA,Proveedor de Servicios
129,10004767255,10004767255,CACERES ARENAS MERY ANGELA,PERU,TACNA,TACNA,CORONEL GREGORIO ALBARRACIN LANCHIPA,Proveedor de Bienes
130,10004778729,10004778729,VARGAS LUQUE EDUARDO HENRY,PERU,TACNA,TACNA,TACNA,Proveedor de Servicios
131,10004819395,10004819395,POMA TICAHUANCA ELVA CLAUDIA,PERU,TACNA,TACNA,TACNA,Proveedor de Servicios
132,10004838942,10004838942,VELASQUEZ CATACORA WALTER PORFIDIO,PERU,TACNA,TACNA,INCLAN,Proveedor de Servicios
133,10004844225,10004844225,GONZALES PAREDES MANUEL,PERU,TACNA,TACNA,TACNA,Proveedor de Bienes
134,10004856312,10004856312,PORTUGAL VARGAS DORA PATRICIA,PERU,AREQUIPA,AREQUIPA,MIRAFLORES,Proveedor de Bienes
135,10004865532,10004865532,IRIARTE PAREDES VICTOR ANDRES,PERU,TACNA,TACNA,TACNA,Proveedor de Bienes
136,10004915084,10004915084,FLORES UMPIRE WILBER VICTOR,PERU,TACNA,TACNA,POCOLLAY,Proveedor de Servicios
137,10004915815,10004915815,MAMANI CONDORI ABAD,PERU,TACNA,TACNA,CORONEL GREGORIO ALBARRACIN LANCHIPA,Proveedor de Bienes
138,10004923401,10004923401,VIZCARRA LLAPA PAUL IVAN,PERU,TACNA,TACNA,TACNA,Proveedor de Servicios
139,10004951056,10004951056,SALLERES COPARE MARIO LUIS,PERU,TACNA,TACNA,TACNA,Proveedor de Servicios
140,10004953130,10004953130,OLIVERA CERPA GIOVANNA NELLY,PERU,TACNA,TACNA,TACNA,Proveedor de Servicios
141,10004994341,10004994341,VUCETICH NIETO MARLENE MILUSKA,PERU,LIMA,LIMA,PACHACAMAC,Proveedor de Bienes
142,10004999369,10004999369,JUAREZ DIAZ HENRY GUSTAVO,PERU,TACNA,TACNA,TACNA,Proveedor de Bienes
143,10005034065,10005034065,GUTIERREZ NAVARRO NIMECIA,PERU,TACNA,TACNA,CIUDAD NUEVA,Proveedor de Servicios
144,10005093631,10005093631,HUANACUNE QUENTA HERMINIA,PERU,TACNA,TACNA,CORONEL GREGORIO ALBARRACIN LANCHIPA,Proveedor de Bienes
145,10005109448,10005109448,RODAS CHIARELLA MIGUEL ANGEL,PERU,LIMA,LIMA,PUEBLO LIBRE,Proveedor de Servicios
146,10005132601,10005132601,FLORES JAHUIRA AGAPITO,PERU,TACNA,TACNA,TACNA,Proveedor de Bienes
147,10005141368,10005141368,LEON AYMA EDWIN,PERU,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,Proveedor de Bienes
148,10005167669,10005167669,CAPARACHIN RIVERA OSCAR ABEL,PERU,TACNA,TACNA,CIUDAD NUEVA,Proveedor de Servicios
149,10005180941,10005180941,CHUQUILLANQUI CAMPOS ROBERT BARTOLOME,PERU,UCAYALI,CORONEL PORTILLO,YARINACOCHA,Proveedor de Servicios
150,10005202766,10005202766,COILA RAMIREZ RAUL ROGER,PERU,TACNA,TACNA,TACNA,Proveedor de Servicios
151,10005208926,10005208926,SANDUEZA CAMA JAVIER CARLO,PERU,LIMA,LIMA,COMAS,Proveedor de Servicios
152,10006658658,10006658658,CAHUANA MAMANI JUAN EMERCINDO,PERU,TACNA,TACNA,TACNA,Proveedor de Bienes
153,10006659981,10006659981,QUEQUE MAMANI LIDIA,PERU,TACNA,CANDARAVE,CANDARAVE,Proveedor de Servicios
154,10006694786,10006694786,CALIZAYA TAQUILA ANDREA,PERU,TACNA,TACNA,TACNA,Proveedor de Bienes
155,10006835797,10006835797,HERRERA SANCHEZ EDUARDO MARTIN,PERU,TACNA,TACNA,TACNA,Proveedor de Bienes
156,10007905438,10007905438,SEGOVIA ASCENCIO BEATRIZ,PERU,TACNA,TACNA,TACNA,Proveedor de Servicios
157,10007925234,10007925234,SOSA GIOVO RENATO ZACARIAS,PERU,TACNA,TACNA,TACNA,Proveedor de Servicios
158,10007956024,10007956024,LARRAONDO CORONADO JUAN CARLOS AGUSTIN,PERU,AREQUIPA,AREQUIPA,PAUCARPATA,Proveedor de Bienes
159,10007958906,10007958906,MAMANI FLORES SIDNEY YESENIA,PERU,PUNO,SAN ROMAN,JULIACA,Proveedor de Servicios
160,10007960820,10007960820,HERRERA ALVA FABIO RAYMUNDO,PERU,TACNA,TACNA,CORONEL GREGORIO ALBARRACIN LANCHIPA,Proveedor de Servicios
161,10007963586,10007963586,LLALLACACHI GUTIERREZ ROBER MAURO,PERU,AREQUIPA,AREQUIPA,MARIANO MELGAR,Proveedor de Bienes
162,10007970558,10007970558,HUANCAPAZA CORA WILY,PERU,TACNA,TACNA,TACNA,Proveedor de Bienes
163,10007991741,10007991741,PARI CALAPUJA CARLOS RENEE,PERU,MOQUEGUA,ILO,ILO,Proveedor de Servicios
164,10008017498,10008017498,VASQUEZ CHUCDEN FRANCISCO,PERU,SAN MARTIN,MOYOBAMBA,JEPELACIO,Proveedor de Servicios
165,10008030184,10008030184,ALVARADO PEREZ DILMA,PERU,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,Proveedor de Servicios
166,10008031202,10008031202,MIRANO PEREA MARIA LUISA,PERU,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,Proveedor de Bienes
167,10008032152,10008032152,ROJAS HERNANDEZ JUAN DEL CARMEN,PERU,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,Proveedor de Bienes
168,10008032837,10008032837,CUBA DE PUERTA ROSALIA,PERU,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,Proveedor de Servicios
169,10008054539,10008054539,NORIEGA BARDALEZ JORGE,PERU,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,Proveedor de Servicios
170,10008079809,10008079809,AREVALO BARDALEZ ALBERTO,PERU,SAN MARTIN,SAN MARTIN,TARAPOTO,Proveedor de Servicios
171,10008086244,10008086244,DIAZ NAVARRO EDNER ROBERTO,PERU,SAN MARTIN,MOYOBAMBA,CALZADA,Proveedor de Bienes
172,10008178025,10008178025,VIDAURRE DE LA CRUZ ALEJANDRO,PERU,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,Proveedor de Servicios
173,10008191587,10008191587,VASQUEZ BARBARAN MERCEDES,PERU,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,Proveedor de Servicios
174,10008194730,10008194730,BARDALEZ DE LA CRUZ JORGE,PERU,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,Proveedor de Servicios
175,10008205138,10008205138,CHAVEZ BARDALEZ EDINSON,PERU,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,Proveedor de Servicios
176,10008219503,10008219503,LOPEZ MENDOZA LUIS,PERU,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,Proveedor de Servicios
177,10008232046,10008232046,CARO ASPAJO ROSA MERCEDES,PERU,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,Proveedor de Bienes
178,10008233298,10008233298,GARATE VALLES ROLANDO,PERU,PROVINCIA CONSTITUCIONAL DEL CALLAO,CALLAO,BELLAVISTA,Proveedor de Bienes
179,10008259106,10008259106,SANTILLAN LOPEZ SAUL,PERU,SAN MARTIN,MOYOBAMBA,SORITOR,Proveedor de Servicios
180,10008283511,10008283511,TAPIA VEGA WIDMAN TULIO,PERU,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,Proveedor de Bienes
181,10008311639,10008311639,PENIA DOMINGUEZ RICARDO,PERU,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,Proveedor de Servicios
182,10008317211,10008317211,VELA ROJAS GERARDO,PERU,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,Proveedor de Servicios
183,10008341368,10008341368,ALVARADO PEREZ ERLITA,PERU,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,Proveedor de Servicios
184,10008356578,10008356578,CORDOVA FERNANDEZ JORGE,PERU,CAJAMARCA,JAEN,JAEN,Proveedor de Bienes
185,10008375009,10008375009,TORRES MENDOZA YANE VICTORIA,PERU,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,Proveedor de Servicios
186,10008375041,10008375041,CELIS GUEVARA EUGENIO,PERU,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,Proveedor de Bienes
187,10008376102,10008376102,ACUNIA CUBAS GILBERTO,PERU,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,Proveedor de Servicios
188,10008391446,10008391446,BARDALEZ RIOS VIRGILIO,PERU,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,Proveedor de Bienes
189,10008413504,10008413504,RUIZ MELENDEZ NORVINDA,PERU,SAN MARTIN,HUALLAGA,SAPOSOA,Proveedor de Servicios
190,10008443888,10008443888,SHUPINGAHUA CARDENAS MARIA,PERU,SAN MARTIN,HUALLAGA,SAPOSOA,Proveedor de Bienes
191,10008446704,10008446704,ORDONIEZ SANCHEZ LUIS ALBERTO,PERU,SAN MARTIN,SAN MARTIN,TARAPOTO,Proveedor de Bienes
192,10008449495,10008449495,RUIZ CERON ASENCIO,PERU,SAN MARTIN,HUALLAGA,SAPOSOA,Proveedor de Servicios
193,10008597311,10008597311,ROJAS RUIZ RICHARD PAUL,PERU,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,Proveedor de Servicios
194,10008600568,10008600568,ACOSTA SANTAMARIA SEGUNDO SEBASTIAN,PERU,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,Proveedor de Bienes
195,10008605365,10008605365,VALLES RODRIGUEZ ANDERSON,PERU,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,Proveedor de Bienes
196,10008624149,10008624149,CARDENAS RENGIFO ABERTANO,PERU,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,Proveedor de Servicios
