,CodItem,DesCubItem
96,2436,ALIMENTO PARA PERROS ADULTO
97,2445,"ALIMENTO EXTRUIDO INICIO PARA PECES: GAMITANA, PACO Y TILAPIA"
98,2451,ALIMENTO BALANCEADO PARA TILAPIA CRECIMIENTO
99,2453,ALIMENTO BALANCEADO CRECIMIENTO I PARA PECES
100,2454,ALIMENTO BALANCEADO CRECIMIENTO II PARA PECES
101,2477,ALIMENTO BALANCEADO INICIO II PARA PECES
102,2478,ALIMENTO BALANCEADO PARA TRUCHAS ENGORDE
103,2499,ACEITE DE OLIVA EXTRA VIRGEN
104,2526,ACEITE VEGETAL COMESTIBLE
105,2550,FIDEO TALLARIN DELGADO
106,2552,FIDEO TALLARIN GRUESO
107,2561,FIDEO DE CODITO
108,2562,FIDEO DE CORBATA
109,2563,FIDEO TALLARIN CHINO
110,2564,FIDEO ENTREFINO DELGADO
111,2565,FIDEO ENTREFINO GRUESO
112,2572,FIDEO MACARRON
113,2574,FIDEO CANUTO CHICO
114,2575,FIDEO CANUTO GRANDE
115,2576,FIDEO MUNICION
116,2580,FIDEO COBARTA
117,2585,FIDEO CHINO
118,2592,FIDEO SPAGUETTI
119,2594,FIDEO ARITO
120,2595,FIDEO CABELLO DE ANGEL
121,2597,FIDEO ESPAGETTI
122,2606,FIDEO CARACOL
123,2614,FIDEO TALLARIN ESPAGETTI
124,2657,CAFE MOLIDO
125,2666,QUINUA
126,2675,TRIGO PELADO
127,2677,MAIZ MORADO
128,2679,MAIZ CANCHA
129,2683,TRIGO PARTIDO
130,2685,MAIZ MOTE PELADO
131,2686,SALVADO DE TRIGO
132,2688,MORON ENTERO
133,2692,KIWICHA
134,2693,HOJUELA SOLO DE AVENA
135,2700,MAIZ BLANCO
136,2703,MORON PARTIDO
137,2705,HOJUELA DE AVENA CON MACA
138,2708,"HOJUELA DE AVENA, MAIZ Y TRIGO"
139,2710,MAIZ CABANITA
140,2721,CEBADA ENTERA
141,2725,TRIGO MOLIDO
142,2730,TRIGO ENTERO
143,2732,CEREAL DE TRIGO INSTANTANEO
144,2737,MAIZ AMILACEO
145,2739,HOJUELA DE AVENA CON KIWICHA
146,2741,"HOJUELA DE AVENA,QUINUA Y MACA"
147,2765,CHOCLO ENTERO
148,2769,CACAO
149,2771,HOJUELA DE AVENA ENRIQUECIDA CON VITAMINAS Y MINERALES
150,2776,HOJUELA DE CEBADA
151,2777,HOJUELA DE CEBADA ENRIQUECIDA.
152,2778,HOJUELA DE CEREAL Y/O LEGUMINOSAS ENRIQUECIDO
153,2780,HOJUELA SOLO DE KIWICHA
154,2782,HOJUELA SOLO DE QUINUA
155,2794,HOJUELA DE TRIGO ENRIQUECIDA
156,2801,HOJUELA DE ARROZ
157,2804,HOJUELA DE AVENA CON SOYA
158,2814,ARROZ TIPO ARBORIO
159,2841,HARINA DE TRIGO
160,2853,HARINA DE HABAS
161,2855,HARINA DE SOYA
162,2857,HARINA DE TRIGO PREPARADA
163,2859,HARINA DE KIWICHA
164,2865,HARINA DE TRIGO SIN PREPARAR
165,2873,HARINA DE MAIZ
166,2882,HARINA DE TRIGO REFINADA
167,2883,CANIHUA TOSTADA MOLIDA
168,2884,HARINA DE ALVERJA
169,2899,HARINA DE CEBADA
170,2907,HARINA DE SIETE SEMILLAS
171,2908,HARINA DE QUINUA AVENA INSTANTANEA FORTIFICADA CON VITAMINAS Y MINERALES
172,2911,LEVADURA GRANULADA SECA
173,2914,MEJORADOR DE PAN
174,2931,AZUCAR BLANCA
175,2951,MANTECA VEGETAL
176,2955,MARGARINA CON SAL
177,2956,MARGARINA SIN SAL
178,3007,BEBIDA GASEOSA DIETETICA OSCURA X 1.5 L APROX.
179,3026,BEBIDA GASEOSA REGULAR OSCURA X 500 mL APROX.
180,3028,BEBIDA GASEOSA REGULAR CLARA X 500 mL APROX.
181,3051,AGUA MINERAL SIN GAS
182,3082,REFRESCO EN POLVO
183,3095,JUGO DE FRUTAS
184,3104,VINO BLANCO SECO X 750 mL
185,3157,NECTAR DE FRUTAS
186,3170,AGUA DE MESA SIN GAS X 20 L APROX.
187,3171,AGUA DE MESA SIN GAS X 1 L APROX.
188,3183,AGUA DE MESA SIN GAS X 2.5 L APROX.
189,3187,AGUA MINERAL SIN GAS X 600 mL APROX.
190,3198,AGUA DE MESA CON GAS X 625 mL APROX.
191,3199,AGUA DE MESA SIN GAS X 625 mL APROX.
192,3207,AGUA DE MESA SIN GAS X 21 L
193,3209,AGUA DE MESA SIN GAS
194,3216,"COMPLEMENTO NUTRICIONAL INSTANTANEO X 400 g (KIWICHA,QUINUA, PROTEINAS, VITAMINAS Y MINERALES)"
195,3218,CHICHA DE JORA
196,3239,CHALONA
197,3240,CHARQUI
198,3242,PESCADO CACHEMA FRESCO ENTERO  EVISCERADO
199,3243,PESCADO BONITO FRESCO ENTERO EVISCERADO
200,3244,PESCADO CABALLA FRESCO ENTERO  EVISCERADO
201,3246,PESCADO COJINOVA FRESCO ENTERO  EVISCERADO
202,3249,PESCADO CABALLA FRESCO CORTE FILETE
203,3251,PESCADO PERICO FRESCO CORTE FILETE
204,3253,PESCADO TILAPIA FRESCO CORTE FILETE
205,3254,PESCADO TOLLO FRESCO CORTE FILETE
206,3264,PESCADO DIAMANTE FRESCO ENTERO  EVISCERADO
207,3272,PESCADO TRUCHA FRESCO ENTERO  EVISCERADO
208,3282,MIXTURA DE MARISCOS
209,3286,POTA
210,3287,PESCADO ANCHOVETA FRESCO ENTERO  EVISCERADO
211,3300,PESCADO LORNA FRESCO ENTERO  EVISCERADO
212,3312,PESCADO TIBURON FRESCO ENTERO  EVISCERADO
213,3318,FILETE DESHUESADO DE ANCHOVETA
214,3322,PESCADO BONITO FRESCO EN FILETE EVISCERADO
215,3327,PESCADO BONITO FRESCO ENTERO  EVISCERADO
216,3335,PESCADO JUREL FRESCO ENTERO EVISCERADO
217,3350,PESCADO BONITO DESHIDRATADO
218,3356,PESCADO MAPARATE FRESCO ENTERO  EVISCERADO
219,3357,PESCADO TILAPIA FRESCO ENTERO  EVISCERADO
220,3366,PESCADO JUREL HG CONGELADO ENTERO  EVISCERADO
221,3407,CABALLA EN GRATED EN AGUA Y SAL
222,3409,JUREL EN GRATED EN AGUA Y SAL
223,3425,ATUN EN FILETE EN ACEITE VEGETAL
224,3428,CABALLA EN FILETE CALIDAD EXTRA EN ACEITE VEGETAL
225,3440,SOLIDO DE BONITO EN ACEITE VEGETAL
226,3445,PESCADO PAICHE DESHIDRATADO
227,3449,CANELA ENTERA
228,3450,CLAVO DE OLOR ENTERO
229,3453,SAL YODADA DE COCINA
230,3469,COMINO MOLIDO
231,3471,SAL YODADA DE MESA
232,3498,GLUTAMATO MONOSODICO
233,3581,ESENCIA DE VAINILLA
234,3583,ESENCIA DE FRUTAS
235,3595,VINAGRE DE VINO TINTO
236,3617,CHOCOLATE BLANCO EN BARRA
237,3621,CHOCOLATE EN BARRA CON CEREALES
238,3639,CARAMELO DURO
239,3657,MERMELADA
240,3673,CEREAL EN  BARRA
241,3674,FRUTA CONFITADA
242,3679,HOJUELAS DE MAIZ
243,3698,HOJUELAS DE MAIZ PICANTE
244,3710,MANJAR BLANCO
245,3714,HOT DOG DE POLLO
246,3716,JAMON DEL PAIS
247,3717,JAMON INGLES
248,3719,JAMONADA DE POLLO
249,3723,TOCINO
250,3725,HOT DOG DE TERNERA
251,3735,SALCHICHA DE POLLO
252,3799,CONSERVA DE COCTEL DE FRUTAS
253,3805,CONSERVA DE DURAZNO EN ALMIBAR
254,3817,PASA NEGRA
255,3818,PECANA ENTERA
256,3828,MANI ENTERO TOSTADO
257,3834,MANI ENTERO PELADO
258,3856,ACEITUNA NEGRA ENTERA SIN RELLENO
259,3862,LECHE CONDENSADA X 400 g APROX.
260,3870,CREMA DE LECHE
261,3871,CREMA DE LECHE X 1 L APROX.
262,3873,LECHE EN POLVO ENTERA  X 400 g
263,3880,LECHE ENTERA EN POLVO
264,3901,LECHE EVAPORADA SEMI DESCREMADA X 410 mL APROX.
265,3909,LECHE CHOCOLATADA
266,3910,LECHE FRESCA ENTERA
267,3911,LECHE DE SOYA CHOCOLATADA
268,3914,LECHE DE SOYA
269,3930,QUESO FRESCO DE VACA
270,3932,QUESO FUNDIDO
271,3935,QUESO MANTECOSO
272,3937,QUESO DE PARIA
273,3940,QUESO FRESCO SIN SAL
274,3952,YOGURT X 1 L
275,3964,GALLETA DE AGUA
276,4014,GALLETA DE SODA
277,4036,GALLETA VAINILLA
278,4089,PAN FRANCES
279,4092,PAN TOLETE
280,4096,PAN DE YEMA
281,4107,PAN DE MANTECA
282,4109,PAN BIZCOCHO
283,4113,PAN CIABATA
284,4116,PAN CHAPLA
285,4120,PANETON
286,4128,MIEL DE ABEJA
287,4150,SUPLEMENTO NUTRICIONAL PROTEINA + CARBOHIDRATO + LIPIDO + AMINOACIDOS
288,4164,SUPLEMENTO NUTRICIONAL ADULTO
289,4176,FORMULA POLIMERICA PARA NINOS MENORES DE 10 ANOS
290,4177,FORMULA POLIMERICA PARA NINOS MAYORES DE 10 ANOS
291,4182,FORMULA ENTERAL POLIMERICA ADULTO
292,4184,SUPLEMENTO NUTRICIONAL X 400 g APROX.
293,4187,NUTRIENTE ENTERAL SIN LACTOSA CON FIBRA
294,4192,PROTEINAS + LIPIDOS + GLUCIDOS X 1 L
295,4196,LECHE MATERNIZADA X 400 g
296,4213,LECHE MATERNIZADA PARA LACTANTES
297,4214,LECHE MATERNIZADA SIN LACTOSA X 375 g
298,4216,FORMULA POLIMERICA SIN LACTOSA ADULTO
299,4224,LECHE MATERNIZADA DE CONTINUACION X 400 g
300,4226,ALIMENTO FORTIFICADO GRANULADO INSTANTANEO X 1 Kg
301,4229,SUPLEMENTO PROTEICO X 275 g
302,4231,NUTRIENTE ENTERAL COMPLETO HIPERTONICO POLIMERICO PLV
303,4233,ALIMENTO FORTIFICADO ENERGETICO
304,4235,ALIMENTO NUTRICIONAL PARA PACIENTE DIABETICO X 800 g
305,4252,LECHE MATERNIZADA X 200 g
306,4260,FORMULA POLIMERICA PARA NINOS MAYORES DE 10 ANOS - ADN
307,4261,FORMULA LACTEA DE INICIO CON HIERRO PARA LACTANTE
308,4265,SUPLEMENTO NUTRICIONAL PARA NINOS
309,4266,SUPLEMENTO NUTRICIONAL PARA PACIENTES CON INSUFICIENCIA RENAL
310,4274,MEZCLA FORTIFICADA DE HARINA DE CEREALES Y LEGUMINOSAS
311,4276,ALIMENTO DIETETICO NUTRICIONAL PARA PACIENTE DIABETICO X 1 Kg
312,4277,ALIMENTO DIETETICO NUTRICIONAL FIBRA X 1 Kg
313,4279,ALIMENTO NUTRICIONAL COMPLETO Y BALANCEADO PARA NINO
314,4280,ALIMENTO NUTRICIONAL COMPLETO Y BALANCEADO PARA ADULTO
315,4283,SUPLEMENTO NUTRICIONAL EN POLVO PARA ADULTOS
316,4299,ALIMENTO NUTRICIONAL COMPLETO CON PROTEINA DE SOYA PARA NINO
317,4304,ALIMENTO DIETETICO NUTRICIONAL COMPLETO PARA POST DIALISIS
318,4307,NUTRIENTE ENTERAL EN POLVO PARA PACIENTE DIABETICO
319,4312,MODULO PROTEICO EN POLVO
320,4313,MODULO PROTEICO DE ALTO VALOR BIOLOGICO 250 g
321,4325,NUTRICION ESPECIAL RENAL
322,4326,NUTRIENTE ENTERAL PEDIATRICO X 400 g
323,4327,NUTRIENTE ENTERAL POLIMERO CON FOSFORO ADULTO
324,4335,ALIMENTO NUTRICIONAL ISOTONICO HIPERPROTICO CON T cm PARA ADULTO X 1 L
325,4349,SUPLEMENTO NUTRICIONAL CON PREBIOTICOS X 400 g
326,4354,FORMULA NUTRICIONAL SEMI ELEMENTAL X 123 g
327,4357,FORMULA POLIMERICA PARA PACIENTE CON INSUFICIENCIA RENAL Y DIALIZADO X 237 mL
328,4362,CASEINATO DE CALCIO
329,4371,FORMULA POLIMERICA SIN LACTOSA PEDIATRICA X 900 g
330,4375,NUTRIENTE ENTERAL LIQUIDO
331,4376,ALIMENTO ENTERAL HIPERPROTEICO X 1 Kg
332,4378,ALIMENTO NUTRICIONAL POLIMERICO HIPOGLUCIDO
333,4481,KEKE DE CHOCOLATE
334,4549,SALSA DE TOMATE
335,4591,ACELGA
336,4592,ACELGA (POR ATADO)
337,4594,PAPA SECA AMARILLA
338,4597,CHUNO NEGRO
339,4600,PAPA SECA
340,4601,CHUNO BLANCO ENTERO
341,4638,ALVERJA VERDE SIN VAINA
342,4641,HABA ENTERA FRESCA
343,4644,ALVERJA VERDE SECA ENTERA
344,4649,FRIJOL DE SOYA
345,4651,FRIJOL UCAYALINO
346,4656,FRIJOL NEGRO
347,4659,FRIJOL RED KIDNEY
348,4682,SOYA ENTERA
349,4693,LENTEJA BEBE
350,4706,FRIJOL ZARANDAJA
351,4714,FRIJOL GRANO SECO
352,4727,CULANTRO.
353,4759,LAUREL
354,4818,CANON CORTO CALIBRE DE 9 mm
355,4821,MUNICION CALIBRE 9 mm
356,4825,MUNICION CALIBRE 12 GA DE 19 mm CON BALA DE PLOMO
357,4826,CARTUCHO CALIBRE 9 mm
358,4827,MUNICIONES PARA PISTOLA 9 mm
359,4831,MUNICION 9 mm PARA PISTOLA
360,4837,MUNICION CALIBRE 38SPC DE 9 mm
361,4843,CARTUCHO 12 GA DE GOMA X 25
362,4854,GRANADA LACRIMOGENA CS DE TRES CUERPOS
363,4856,CARTUCHO CAL 12 GA MUNICION DE GOMA
364,4857,FULMINANTE EXPLOSIVO
365,4869,CAMARA DE CADAVERES
366,4871,CAMARA FRIGORIFICA
367,4878,CAMARA FRIGORIFICA CON PUERTA DE VIDRIO
368,4882,CONGELADOR DE PLASMA
369,4884,CONGELADORA INDUSTRIAL HORIZONTAL ELECTRICA DE 283 L
370,4889,CONGELADORA INDUSTRIAL HORIZONTAL ELECTRICA DE 300 L
371,4895,CONGELADORA INDUSTRIAL VERTICAL ELECTRICA DE 594 L
372,4899,CONGELADORA INDUSTRIAL VERTICAL ELECTRICA DE 440 L
373,4902,EQUIPO DE CONGELACION DE EMBRIONES
374,4904,EQUIPO DE AIRE ACONDICIONADO TIPO SPLIT DE 12000 BTU/h
375,4907,EQUIPO DE AIRE ACONDICIONADO TIPO SPLIT DE 36000 BTU/h
376,4909,EQUIPO DE AIRE ACONDICIONADO TIPO SPLIT DE 60000 BTU/h
377,4910,EQUIPO DE AIRE ACONDICIONADO TIPO VENTANA DE 18000 BTU/h
378,4911,EQUIPO DE AIRE ACONDICIONADO TIPO VENTANA DE 12000 BTU/h
379,4913,EQUIPO DE AIRE ACONDICIONADO TIPO VENTANA DE 48000 BTU/h
380,4926,EQUIPO DE AIRE ACONDICIONADO TIPO DUCTO DE 60000 BTU/h
381,4927,EQUIPO DE AIRE ACONDICIONADO TIPO DUCTO DE 48000 BTU/h
382,4929,EQUIPO DE AIRE ACONDICIONADO TIPO DUCTO DE 12000 BTU/h
383,4931,EQUIPO DE AIRE ACONDICIONADO TIPO DUCTO DE 36000 BTU/h
384,4932,EQUIPO DE AIRE ACONDICIONADO TIPO DUCTO DE 18000 BTU/h
385,4933,EQUIPO DE AIRE ACONDICIONADO TIPO PAQUETE DE 150000 BTU/h
386,4934,EQUIPO DE AIRE ACONDICIONADO TIPO DUCTO DE 24000 BTU/h
387,4937,EQUIPO DE AIRE ACONDICIONADO TIPO MULTI-SPLIT DE 24000 BTU/h
388,4942,EQUIPO DE AIRE ACONDICIONADO TIPO MULTI-SPLIT DE 100000 BTU/h
389,4943,EQUIPO DE AIRE ACONDICIONADO TIPO PAQUETE DE 120000 BTU/h
390,4944,EQUIPO PURIFICADOR DE AMBIENTE
391,4945,ESTERILIZADOR DE AIRE
392,4952,EXTRACTOR DE AIRE TIPO HELICOCENTRIFUGO DE 3398 m3/h
393,4959,EXTRACTOR DE AIRE TIPO AXIAL DE 1019 m3/h
394,4969,INYECTOR DE AIRE TIPO CENTRIFUGO DE 3000 ft3/min
395,4973,REFRIGERADORA ELECTRICA VERTICAL DE +2 C A 6 C X 100 L APROX. PARA BANCOS DE SANGRE
396,4979,REFRIGERADORA CONGELADOR FOTOVOLTAICO VERTICAL DE +0 C A 13 C  X 264 L APROX. PARA  MUESTRAS DE LABORATORIO
397,4985,REFRIGERADORA ELECTRICA DOMESTICA DE 425 l APROX.
398,5027,THERMA SOLAR DE 600 L
399,5037,VENTILADOR ELECTRICO DE PIE DE 3 VELOCIDADES
400,5046,VENTILADOR ELECTRICO PARA TECHO DE 5 VELOCIDADES
401,5047,VENTILADOR ELECTRICO PARA TECHO DE 3 VELOCIDADES
402,5213,ESCOBILLA CIRCULAR PARA LAVAR PISO DE 12 in
403,5238,BOLSITA CON LIQUIDO AROMATIZADOR PARA DOSIFICADOR DE BANO
404,5282,ACIDO MURIATICO X 1 L
405,5327,CERA AL AGUA DE 1 gal APROX. COLOR NEUTRAL PARA PISO
406,5329,CERA AL AGUA DE 1 gal APROX. COLOR ROJO PARA PISO
407,5331,CERA AL AGUA DE 1 gal APROX. COLOR NEGRO PARA PISO
408,5332,CERA AL AGUA DE 1 gal APROX. COLOR AMARILLO PARA PISO
409,5335,CERA EN PASTA PARA PISO
410,5378,DESINFECTANTE LIQUIDO LIMPIADOR AROMATICO
411,5379,DESINFECTANTE LIMPIADOR AROMATICO X 250 mL
412,5409,DESINFECTANTE LIMPIADOR AROMATICO - PINO X 1 gal
413,5423,PERFUMADOR DE AMBIENTE X 5 gal
414,5434,AMBIENTADOR EN AEROSOL X 450 mL APROX.
415,5435,AMBIENTADOR EN AEROSOL X 360 mL APROX.
416,5446,PERFUMADOR DE AMBIENTE
417,5504,DESODORANTE EN PASTILLA PARA SERVICIOS HIGIENICOS X 30 g
418,5508,DETERGENTE GRANULADO DOMESTICO
419,5512,DETERGENTE GRANULADO X 360 g
420,5518,DETERGENTE GRANULADO X 15 Kg
421,5520,DETERGENTE GRANULADO X 50 Kg
422,5524,DETERGENTE GRANULADO X 5 Kg
423,5527,DETERGENTE GRANULADO X 2.6 Kg
424,5532,DETERGENTE GRANULADO X 850 g
425,5535,DETERGENTE GRANULADO INDUSTRIAL
426,5537,DETERGENTE GRANULADO X 4.5 Kg
427,5539,DETERGENTE EN POLVO X 30 Kg
428,5544,DETERGENTE EN POLVO LAVA VAJILLA X 450 g
429,5546,DETERGENTE EN POLVO INDUSTRIAL
430,5549,DETERGENTE EN PASTA LAVA VAJILLA
431,5555,DETERGENTE EN PASTA LAVA VAJILLA X 600 g
432,5558,DETERGENTE EN PASTA LAVA VAJILLA X 200 g
433,5564,JABON PARA LAVAR ROPA X 500 g
434,5565,JABON PARA LAVAR ROPA X 250 g
435,5578,KRESO X 1 gal
436,5595,HIPOCLORITO DE SODIO AL 10%
437,5600,HIPOCLORITO DE SODIO AL 5%
438,5602,HIPOCLORITO DE SODIO AL 7.5%
439,5603,LEJIA (HIPOCLORITO DE SODIO) AL 8% X 1 L
440,5610,LEJIA (HIPOCLORITO DE SODIO) AL 5% X 1 gal
441,5616,LEJIA (HIPOCLORITO DE SODIO) AL 7.5% X 1 GAL
442,5633,LEJIA (HIPOCLORITO DE SODIO) AL 7.5% X 1 LT
443,5640,LEJIA (HIPOCLORITO DE SODIO) AL 5% X 250 mL APROX.
444,5643,PULIDOR DE VAJILLA TIPO PULITON
445,5652,PULIDOR PARA VAJILLA (TIPO PULITON ) X 450 g APROX.
446,5682,LIMPIADOR DE METAL LIQUIDO X 220 mL APROX.
447,5739,AMONIO CUATERNARIO AL 80%
448,5741,DESINFECTANTE AMONIO CUATERNARIO X 3.8 L
449,5742,ANTISARRO PARA WATER
450,5743,CLORO EN PASTILLAS 90% DE CLORO ACTIVO X 50 Kg
451,5750,ALCOHOL GEL X 1 L
452,5752,AMONIO CUATERNARIO AL 50%
453,5758,DESINFECTANTE PARA SUPERFICIES ALTAS X 750 mL
454,5760,DESINFECTANTE PARA SUPERFICIES ALTAS X 10 DOSIS
455,5761,DESINFECTANTE AMONIO CUATERNARIO CONCENTRADO
456,5764,DESINFECTANTE AMONIO CUATERNARIO AL 20%
457,5769,DESINFECTANTE AMONIO CUATERNARIO AL 25%
458,5770,DESINFECTANTE AMONIO CUATERNARIO AL 25% X 3.75 L
459,5772,DESINFECTANTE AMONIO CUATERNARIO AL 1.5%
460,5777,DESINFECTANTE AMONIO CUATERNARIO AL 1%
461,5780,CLORO EN PASTILLAS 90% DE CLORO ACTIVO X 1 Kg
462,5792,SODA CAUSTICA
